city,date,EVER,PHEV,FUEL,EV
东莞,2022/6/1,2029,24622,60291,40430
东莞,2022/7/1,1767,21231,41118,27348
东莞,2022/8/1,1530,30845,59550,37816
东莞,2022/9/1,1676,27051,56898,42072
东莞,2022/10/1,1697,33318,55071,38835
东莞,2022/11/1,1954,27876,52875,38535
东莞,2022/12/1,2089,30525,55239,41088
东莞,2023/1/1,1810,26363,54540,37846
东莞,2023/2/1,2136,34659,57552,36030
东莞,2023/3/1,2056,31688,57459,38638
东莞,2023/4/1,1766,27783,52863,42102
东莞,2023/5/1,1859,33423,56910,34197
东莞,2023/6/1,2723,29357,54276,39988
东莞,2023/7/1,2602,31646,56124,37504
东莞,2023/8/1,2657,30535,56127,39953
东莞,2023/9/1,2409,34134,58122,39168
东莞,2023/10/1,2633,29428,57840,40235
东莞,2023/11/1,3061,29575,54288,40778
东莞,2023/12/1,2915,29201,58275,38239
东莞,2024/1/1,2587,32038,57927,40778
东莞,2024/2/1,1623,32111,60135,35887
东莞,2024/3/1,3067,31827,52872,38355
东莞,2024/4/1,2547,33709,55527,38849
东莞,2024/5/1,2842,31432,54147,33929
东莞,2024/6/1,3949,33521,56262,40603
东莞,2024/7/1,3674,28679,53604,38284
东莞,2024/8/1,3000,32275,56256,35483
东莞,2024/9/1,3699,28696,58650,41429
中山,2022/6/1,2670,12611,19404,15943
中山,2022/7/1,2043,7022,13050,11941
中山,2022/8/1,2153,10298,19515,16477
中山,2022/9/1,2113,11436,18618,15225
中山,2022/10/1,1925,12741,18594,15372
中山,2022/11/1,2404,12994,19317,16121
中山,2022/12/1,2038,13265,20574,15817
中山,2023/1/1,1920,13555,16275,15638
中山,2023/2/1,1661,13390,19797,15890
中山,2023/3/1,1823,12199,17010,16655
中山,2023/4/1,2027,12023,18405,15283
中山,2023/5/1,2201,14780,18501,14650
中山,2023/6/1,3031,14410,17634,15461
中山,2023/7/1,2350,13573,18123,15626
中山,2023/8/1,2148,15204,18390,14622
中山,2023/9/1,2792,11709,21576,15645
中山,2023/10/1,2572,12356,19911,15925
中山,2023/11/1,2173,13376,20940,17509
中山,2023/12/1,2830,14109,18090,16602
中山,2024/1/1,2817,12786,20511,15744
中山,2024/2/1,2590,11755,20178,14729
中山,2024/3/1,2164,13029,19173,15903
中山,2024/4/1,1980,13399,19554,16181
中山,2024/5/1,2244,12073,16611,15854
中山,2024/6/1,2848,12048,20658,15108
中山,2024/7/1,2241,12910,19572,16391
中山,2024/8/1,2726,11016,19275,14229
中山,2024/9/1,3058,12379,19611,17618
云浮,2022/6/1,0,480,1869,1227
云浮,2022/7/1,0,385,1254,653
云浮,2022/8/1,0,446,2232,1096
云浮,2022/9/1,0,727,2100,1145
云浮,2022/10/1,0,456,1941,1080
云浮,2022/11/1,0,594,2199,477
云浮,2022/12/1,0,650,1734,523
云浮,2023/1/1,0,389,1629,1123
云浮,2023/2/1,0,274,1650,932
云浮,2023/3/1,0,546,1452,837
云浮,2023/4/1,0,573,2013,1122
云浮,2023/5/1,0,409,1647,749
云浮,2023/6/1,0,753,2007,756
云浮,2023/7/1,0,489,1869,1092
云浮,2023/8/1,0,609,2085,777
云浮,2023/9/1,0,537,1680,1476
云浮,2023/10/1,0,476,1857,850
云浮,2023/11/1,0,527,1551,994
云浮,2023/12/1,36,400,1998,761
云浮,2024/1/1,0,291,1554,1080
云浮,2024/2/1,0,562,1998,965
云浮,2024/3/1,0,665,1809,1006
云浮,2024/4/1,0,337,2007,545
云浮,2024/5/1,0,472,2292,761
云浮,2024/6/1,0,619,2100,878
云浮,2024/7/1,11,374,1680,646
云浮,2024/8/1,0,271,2025,734
云浮,2024/9/1,0,570,1668,846
佛山,2022/6/1,181,20248,44829,30179
佛山,2022/7/1,182,19733,32052,17794
佛山,2022/8/1,148,20409,40974,30501
佛山,2022/9/1,322,22766,46767,29155
佛山,2022/10/1,355,22277,49191,29953
佛山,2022/11/1,542,21971,47454,32611
佛山,2022/12/1,906,19843,44547,29024
佛山,2023/1/1,354,22732,48129,30290
佛山,2023/2/1,440,20899,43698,31085
佛山,2023/3/1,826,21793,45021,28328
佛山,2023/4/1,678,22664,47589,31453
佛山,2023/5/1,813,22431,47703,31662
佛山,2023/6/1,747,23759,46089,27979
佛山,2023/7/1,822,25376,42387,27421
佛山,2023/8/1,849,20754,47058,30363
佛山,2023/9/1,887,23379,46461,27435
佛山,2023/10/1,1091,19894,45756,29171
佛山,2023/11/1,1370,22641,45087,26364
佛山,2023/12/1,1647,19512,47217,32292
佛山,2024/1/1,1136,23870,46842,23893
佛山,2024/2/1,537,20520,46149,32316
佛山,2024/3/1,844,25057,47349,29930
佛山,2024/4/1,797,20691,48003,31458
佛山,2024/5/1,991,25059,46905,26796
佛山,2024/6/1,1647,18964,46443,30671
佛山,2024/7/1,1757,23551,46773,30314
佛山,2024/8/1,1419,20112,48888,32271
佛山,2024/9/1,1742,23498,45705,28093
广州,2022/6/1,1513,38045,78180,60028
广州,2022/7/1,757,25064,61164,44806
广州,2022/8/1,672,39211,80748,59831
广州,2022/9/1,977,36589,79671,58256
广州,2022/10/1,1115,37406,83913,51763
广州,2022/11/1,1665,37592,83613,57940
广州,2022/12/1,1690,36776,78006,59968
