city,date,EVER,PHEV,FUEL,EV
拉萨,2022/6/1,19,2873,4062,2302
拉萨,2022/7/1,0,1640,2490,1429
拉萨,2022/8/1,0,2255,3711,1828
拉萨,2022/9/1,0,2895,4479,1737
拉萨,2022/10/1,0,2552,4302,2218
拉萨,2022/11/1,0,2424,4002,1515
拉萨,2022/12/1,0,2081,3741,2581
拉萨,2023/1/1,11,1847,4620,2899
拉萨,2023/2/1,13,1881,4341,2352
拉萨,2023/3/1,0,2347,4257,2723
拉萨,2023/4/1,0,2699,3573,2443
拉萨,2023/5/1,62,2447,4560,2104
拉萨,2023/6/1,0,2487,4731,2061
拉萨,2023/7/1,12,2139,4827,2121
拉萨,2023/8/1,35,2657,5016,2236
拉萨,2023/9/1,30,2254,3996,2729
拉萨,2023/10/1,25,2918,3795,2092
拉萨,2023/11/1,32,2699,4290,2590
拉萨,2023/12/1,66,1954,4710,2396
拉萨,2024/1/1,24,2427,4422,2292
拉萨,2024/2/1,12,1861,4128,2192
拉萨,2024/3/1,30,2335,4578,2180
拉萨,2024/4/1,11,2730,3885,2466
拉萨,2024/5/1,53,2182,3342,2324
拉萨,2024/6/1,102,2299,3570,2639
拉萨,2024/7/1,61,2044,5169,2336
拉萨,2024/8/1,53,2393,3930,2212
拉萨,2024/9/1,95,2291,4383,2404
