,date,Tibet
0,Jan-19,0.133906247
1,Feb-19,0.108769942
2,Mar-19,0.144871548
3,Apr-19,0.180847948
4,May-19,0.22647753
5,Jun-19,0.245403419
6,Jul-19,0.256553167
7,Aug-19,0.219108059
8,Sep-19,0.24607464
9,Oct-19,0.227740949
10,Nov-19,0.190139747
11,Dec-19,0.129806833
12,Jan-20,0.105717048
13,Feb-20,0.086112448
14,Mar-20,0.13451097
15,Apr-20,0.192205452
16,May-20,0.226786184
17,Jun-20,0.283995054
18,Jul-20,0.240052345
19,Aug-20,0.254344698
20,Sep-20,2.079890454
21,Oct-20,2.523999176
22,Nov-20,2.420337378
23,Dec-20,2.51631406
24,Jan-21,2.51488886
25,Feb-21,2.098324161
26,Mar-21,2.424884936
27,Apr-21,2.442636285
28,May-21,2.60764875
29,Jun-21,2.465332769
30,Jul-21,2.521433344
31,Aug-21,2.511357847
32,Sep-21,2.457164509
33,Oct-21,2.485242608
34,Nov-21,2.430845279
35,Dec-21,2.584272512
36,Jan-22,2.474839732
37,Feb-22,2.102283501
38,Mar-22,2.446073668
39,Apr-22,2.251607987
40,May-22,2.268977315
41,Jun-22,2.416505507
42,Jul-22,2.571395954
43,Aug-22,2.367886137
44,Sep-22,2.191136744
45,Oct-22,2.337953518
46,Nov-22,2.330287207
47,Dec-22,2.371413332
48,Jan-23,2.48427806
49,Feb-23,2.224707945
50,Mar-23,2.533132174
51,Apr-23,2.48581695
52,May-23,2.645180135
53,Jun-23,2.596744063
54,Jul-23,2.62879906
55,Aug-23,2.658983167
56,Sep-23,2.546204758
57,Oct-23,2.588703501
58,Nov-23,2.441420571
59,Dec-23,2.616239559
60,Jan-24,2.456359263
61,Feb-24,2.126686306
62,Mar-24,2.587561803
63,Apr-24,2.565762251
64,May-24,2.71607069
65,Jun-24,2.690472343
66,Jul-24,2.684101555
67,Aug-24,2.709674752
68,Sep-24,2.638238494
