city,date,EVER,PHEV,FUEL,EV
乌鲁木齐,2022/6/1,390,13696,24795,14432
乌鲁木齐,2022/7/1,374,8945,16758,10450
乌鲁木齐,2022/8/1,153,14931,23967,14724
乌鲁木齐,2022/9/1,360,13945,28197,16655
乌鲁木齐,2022/10/1,336,16481,25890,13240
乌鲁木齐,2022/11/1,354,15152,26118,14419
乌鲁木齐,2022/12/1,484,13753,24897,14699
乌鲁木齐,2023/1/1,163,15664,24105,15317
乌鲁木齐,2023/2/1,510,14417,25305,14944
乌鲁木齐,2023/3/1,605,15949,27222,13250
乌鲁木齐,2023/4/1,439,13143,22935,14874
乌鲁木齐,2023/5/1,522,15935,26046,13084
乌鲁木齐,2023/6/1,592,15413,28440,14242
乌鲁木齐,2023/7/1,606,18553,25554,13037
乌鲁木齐,2023/8/1,776,15817,25260,13364
乌鲁木齐,2023/9/1,1262,16330,25905,14072
乌鲁木齐,2023/10/1,1614,13683,23946,14841
乌鲁木齐,2023/11/1,1951,15005,26658,13498
乌鲁木齐,2023/12/1,1777,16685,24327,14515
乌鲁木齐,2024/1/1,2126,13211,27624,16516
乌鲁木齐,2024/2/1,2029,14345,24474,14950
乌鲁木齐,2024/3/1,1914,15041,25128,14050
乌鲁木齐,2024/4/1,1605,15421,26340,16163
乌鲁木齐,2024/5/1,1589,12970,25143,14909
乌鲁木齐,2024/6/1,1467,14248,26319,15137
乌鲁木齐,2024/7/1,1156,14015,27186,17353
乌鲁木齐,2024/8/1,1130,14920,26517,13763
乌鲁木齐,2024/9/1,1163,13608,23025,14127
伊犁,2023/8/1,11,0,0,0
伊犁,2023/10/1,37,0,0,0
伊犁,2024/1/1,20,0,0,0
伊犁,2024/2/1,99,0,0,0
伊犁,2024/3/1,32,0,0,0
伊犁,2024/5/1,23,0,0,0
伊犁,2024/7/1,98,0,0,0
伊犁,2024/8/1,67,0,0,0
伊犁,2024/9/1,13,0,0,0
克拉玛依,2022/6/1,0,274,2004,1067
克拉玛依,2022/7/1,0,484,1176,452
克拉玛依,2022/8/1,0,598,1371,800
克拉玛依,2022/9/1,0,502,2031,1028
克拉玛依,2022/10/1,0,451,1851,740
克拉玛依,2022/11/1,0,815,1869,541
克拉玛依,2022/12/1,0,581,2073,694
克拉玛依,2023/1/1,0,468,1626,696
克拉玛依,2023/2/1,0,648,1560,507
克拉玛依,2023/3/1,0,357,1743,717
克拉玛依,2023/4/1,0,628,1713,437
克拉玛依,2023/5/1,0,491,1983,790
克拉玛依,2023/6/1,0,899,1653,604
克拉玛依,2023/7/1,0,813,1368,486
克拉玛依,2023/8/1,0,576,2097,705
克拉玛依,2023/9/1,0,540,2151,429
克拉玛依,2023/10/1,0,591,1842,681
克拉玛依,2023/11/1,0,711,1746,489
克拉玛依,2023/12/1,0,492,1428,414
克拉玛依,2024/1/1,0,463,1674,821
克拉玛依,2024/2/1,0,746,1629,490
克拉玛依,2024/3/1,0,366,1545,768
克拉玛依,2024/4/1,0,733,1929,860
克拉玛依,2024/5/1,0,673,1821,824
克拉玛依,2024/6/1,0,712,2097,578
克拉玛依,2024/7/1,12,342,1359,1008
克拉玛依,2024/8/1,0,312,1929,561
克拉玛依,2024/9/1,0,614,1521,724
吐鲁番,2024/7/1,15,0,0,0
吐鲁番,2024/8/1,12,0,0,0
哈密,2024/5/1,11,0,0,0
哈密,2024/7/1,11,0,0,0
哈密,2024/9/1,11,0,0,0
喀什,2023/3/1,18,0,0,0
喀什,2023/5/1,13,0,0,0
喀什,2023/7/1,27,0,0,0
喀什,2023/8/1,22,0,0,0
喀什,2023/9/1,36,0,0,0
喀什,2023/10/1,30,0,0,0
喀什,2023/11/1,22,0,0,0
喀什,2023/12/1,44,0,0,0
喀什,2024/1/1,16,0,0,0
喀什,2024/2/1,58,0,0,0
喀什,2024/3/1,35,0,0,0
喀什,2024/4/1,24,0,0,0
喀什,2024/5/1,35,0,0,0
喀什,2024/6/1,27,0,0,0
喀什,2024/7/1,24,0,0,0
喀什,2024/8/1,20,0,0,0
喀什,2024/9/1,22,0,0,0
塔城,2024/8/1,24,0,0,0
昌吉,2023/12/1,13,0,0,0
昌吉,2024/9/1,15,0,0,0
阿克苏,2023/3/1,16,0,0,0
阿克苏,2023/4/1,20,0,0,0
阿克苏,2023/5/1,14,0,0,0
阿克苏,2023/6/1,14,0,0,0
阿克苏,2023/7/1,23,0,0,0
阿克苏,2023/8/1,21,0,0,0
阿克苏,2023/9/1,27,0,0,0
阿克苏,2023/10/1,23,0,0,0
阿克苏,2023/11/1,32,0,0,0
阿克苏,2024/1/1,15,0,0,0
阿克苏,2024/2/1,11,0,0,0
阿克苏,2024/3/1,14,0,0,0
阿克苏,2024/8/1,18,0,0,0
伊犁,2022/6/1,,,,
伊犁,2022/7/1,,,,
伊犁,2022/8/1,,,,
伊犁,2022/9/1,,,,
伊犁,2022/10/1,,,,
伊犁,2022/11/1,,,,
伊犁,2022/12/1,,,,
伊犁,2023/1/1,,,,
伊犁,2023/2/1,,,,
伊犁,2023/3/1,,,,
伊犁,2023/4/1,,,,
伊犁,2023/5/1,,,,
伊犁,2023/6/1,,,,
伊犁,2023/7/1,,,,
伊犁,2023/9/1,,,,
伊犁,2023/11/1,,,,
伊犁,2023/12/1,,,,
伊犁,2024/4/1,,,,
伊犁,2024/6/1,,,,
吐鲁番,2022/6/1,,,,
吐鲁番,2022/7/1,,,,
吐鲁番,2022/8/1,,,,
吐鲁番,2022/9/1,,,,
吐鲁番,2022/10/1,,,,
吐鲁番,2022/11/1,,,,
吐鲁番,2022/12/1,,,,
吐鲁番,2023/1/1,,,,
吐鲁番,2023/2/1,,,,
吐鲁番,2023/3/1,,,,
吐鲁番,2023/4/1,,,,
吐鲁番,2023/5/1,,,,
吐鲁番,2023/6/1,,,,
吐鲁番,2023/7/1,,,,
吐鲁番,2023/8/1,,,,
吐鲁番,2023/9/1,,,,
吐鲁番,2023/10/1,,,,
吐鲁番,2023/11/1,,,,
吐鲁番,2023/12/1,,,,
吐鲁番,2024/1/1,,,,
吐鲁番,2024/2/1,,,,
吐鲁番,2024/3/1,,,,
吐鲁番,2024/4/1,,,,
吐鲁番,2024/5/1,,,,
吐鲁番,2024/6/1,,,,
吐鲁番,2024/9/1,,,,
哈密,2022/6/1,,,,
哈密,2022/7/1,,,,
哈密,2022/8/1,,,,
哈密,2022/9/1,,,,
哈密,2022/10/1,,,,
哈密,2022/11/1,,,,
哈密,2022/12/1,,,,
哈密,2023/1/1,,,,
哈密,2023/2/1,,,,
哈密,2023/3/1,,,,
哈密,2023/4/1,,,,
哈密,2023/5/1,,,,
哈密,2023/6/1,,,,
哈密,2023/7/1,,,,
哈密,2023/8/1,,,,
哈密,2023/9/1,,,,
哈密,2023/10/1,,,,
哈密,2023/11/1,,,,
哈密,2023/12/1,,,,
哈密,2024/1/1,,,,
哈密,2024/2/1,,,,
哈密,2024/3/1,,,,
哈密,2024/4/1,,,,
哈密,2024/6/1,,,,
哈密,2024/8/1,,,,
喀什,2022/6/1,,,,
喀什,2022/7/1,,,,
喀什,2022/8/1,,,,
喀什,2022/9/1,,,,
喀什,2022/10/1,,,,
喀什,2022/11/1,,,,
喀什,2022/12/1,,,,
喀什,2023/1/1,,,,
喀什,2023/2/1,,,,
喀什,2023/4/1,,,,
喀什,2023/6/1,,,,
塔城,2022/6/1,,,,
塔城,2022/7/1,,,,
塔城,2022/8/1,,,,
塔城,2022/9/1,,,,
塔城,2022/10/1,,,,
塔城,2022/11/1,,,,
塔城,2022/12/1,,,,
塔城,2023/1/1,,,,
塔城,2023/2/1,,,,
塔城,2023/3/1,,,,
塔城,2023/4/1,,,,
塔城,2023/5/1,,,,
塔城,2023/6/1,,,,
塔城,2023/7/1,,,,
塔城,2023/8/1,,,,
塔城,2023/9/1,,,,
塔城,2023/10/1,,,,
塔城,2023/11/1,,,,
塔城,2023/12/1,,,,
塔城,2024/1/1,,,,
塔城,2024/2/1,,,,
塔城,2024/3/1,,,,
塔城,2024/4/1,,,,
塔城,2024/5/1,,,,
塔城,2024/6/1,,,,
塔城,2024/7/1,,,,
塔城,2024/9/1,,,,
昌吉,2022/6/1,,,,
昌吉,2022/7/1,,,,
昌吉,2022/8/1,,,,
昌吉,2022/9/1,,,,
昌吉,2022/10/1,,,,
昌吉,2022/11/1,,,,
昌吉,2022/12/1,,,,
昌吉,2023/1/1,,,,
昌吉,2023/2/1,,,,
昌吉,2023/3/1,,,,
昌吉,2023/4/1,,,,
昌吉,2023/5/1,,,,
昌吉,2023/6/1,,,,
昌吉,2023/7/1,,,,
昌吉,2023/8/1,,,,
昌吉,2023/9/1,,,,
昌吉,2023/10/1,,,,
昌吉,2023/11/1,,,,
昌吉,2024/1/1,,,,
昌吉,2024/2/1,,,,
昌吉,2024/3/1,,,,
昌吉,2024/4/1,,,,
昌吉,2024/5/1,,,,
昌吉,2024/6/1,,,,
昌吉,2024/7/1,,,,
昌吉,2024/8/1,,,,
阿克苏,2022/6/1,,,,
阿克苏,2022/7/1,,,,
阿克苏,2022/8/1,,,,
阿克苏,2022/9/1,,,,
阿克苏,2022/10/1,,,,
阿克苏,2022/11/1,,,,
阿克苏,2022/12/1,,,,
阿克苏,2023/1/1,,,,
阿克苏,2023/2/1,,,,
阿克苏,2023/12/1,,,,
阿克苏,2024/4/1,,,,
阿克苏,2024/5/1,,,,
阿克苏,2024/6/1,,,,
阿克苏,2024/7/1,,,,
阿克苏,2024/9/1,,,,
