city,date,MPV,SUV,medium_car,med_large_car,large_car,small_car,micro_car,compact_car,roadster,EVER,PHEV,FUEL,EV,0-5w,5-10w,10-15w,15-20w,20-25w,25-30w,30-35w,35-40w,40-50w,50-100w,100-150w,150-300w,300-1000w,joint_type,self_owned_type,imported_type,joint_brand,state_owned_brand,international_brand,self_owned_brand,new_force_brand
亳州,2022-06-01,363.0,1466.0,580.0,93.0,0.0,81.0,1253.0,1066.0,0.0,56.0,1439.0,2328.0,1079.0,0.0,1697.0,1278.0,883.0,486.0,251.0,108.0,89.0,78.0,32.0,0.0,0.0,0.0,1751.0,3148.0,3.0,2097.0,168.0,283.0,1978.0,376.0
亳州,2022-07-01,201.0,851.0,321.0,104.0,0.0,78.0,480.0,710.0,0.0,13.0,626.0,1327.0,779.0,0.0,760.0,799.0,533.0,309.0,97.0,51.0,99.0,59.0,38.0,0.0,0.0,0.0,1076.0,1656.0,13.0,1066.0,134.0,253.0,1114.0,178.0
亳州,2022-08-01,336.0,1236.0,522.0,149.0,0.0,69.0,416.0,1234.0,0.0,26.0,963.0,1829.0,1144.0,0.0,802.0,1226.0,976.0,496.0,141.0,65.0,111.0,82.0,63.0,0.0,0.0,0.0,1701.0,2221.0,40.0,1702.0,171.0,401.0,1432.0,256.0
亳州,2022-09-01,360.0,1171.0,540.0,104.0,0.0,103.0,617.0,1095.0,0.0,15.0,775.0,1967.0,1233.0,0.0,1042.0,1254.0,662.0,525.0,153.0,90.0,112.0,137.0,15.0,0.0,0.0,0.0,1557.0,2402.0,31.0,1535.0,176.0,463.0,1549.0,267.0
亳州,2022-10-01,318.0,1203.0,694.0,132.0,0.0,97.0,686.0,1160.0,0.0,45.0,658.0,2313.0,1274.0,0.0,1203.0,1020.0,890.0,666.0,159.0,71.0,93.0,122.0,66.0,0.0,0.0,0.0,1848.0,2441.0,1.0,1684.0,185.0,435.0,1708.0,278.0
亳州,2022-11-01,204.0,1206.0,505.0,90.0,0.0,95.0,539.0,1084.0,0.0,29.0,796.0,1979.0,919.0,0.0,908.0,1056.0,945.0,428.0,153.0,34.0,53.0,105.0,41.0,0.0,0.0,0.0,1543.0,2167.0,13.0,1422.0,150.0,289.0,1627.0,235.0
亳州,2022-12-01,167.0,1164.0,565.0,132.0,0.0,151.0,639.0,1033.0,0.0,73.0,493.0,2140.0,1145.0,0.0,940.0,1056.0,778.0,517.0,199.0,95.0,118.0,113.0,35.0,0.0,0.0,0.0,1735.0,2087.0,29.0,1690.0,103.0,338.0,1422.0,298.0
亳州,2023-01-01,334.0,1272.0,539.0,83.0,0.0,66.0,1108.0,931.0,0.0,38.0,697.0,2417.0,1181.0,0.0,1418.0,1014.0,970.0,487.0,195.0,70.0,86.0,51.0,42.0,0.0,0.0,0.0,1704.0,2620.0,9.0,1884.0,197.0,257.0,1787.0,208.0
亳州,2023-02-01,287.0,1282.0,624.0,72.0,0.0,76.0,654.0,1334.0,0.0,6.0,1152.0,2324.0,847.0,0.0,1132.0,1256.0,837.0,666.0,176.0,41.0,113.0,79.0,29.0,0.0,0.0,0.0,1901.0,2414.0,14.0,1813.0,177.0,383.0,1747.0,209.0
亳州,2023-03-01,166.0,936.0,642.0,130.0,0.0,139.0,605.0,1015.0,0.0,26.0,700.0,2143.0,764.0,0.0,981.0,950.0,609.0,620.0,149.0,54.0,154.0,45.0,71.0,0.0,0.0,0.0,1608.0,1998.0,27.0,1388.0,161.0,358.0,1578.0,148.0
