city,date,MPV,SUV,medium_car,med_large_car,large_car,small_car,micro_car,compact_car,roadster,EVER,PHEV,FUEL,EV,0-5w,5-10w,10-15w,15-20w,20-25w,25-30w,30-35w,35-40w,40-50w,50-100w,100-150w,150-300w,300-1000w,joint_type,self_owned_type,imported_type,joint_brand,state_owned_brand,international_brand,self_owned_brand,new_force_brand
北京,2022-06-01,5371.0,38226.0,10937.0,6417.0,894.0,1348.0,303.0,12294.0,229.0,500.0,18061.0,35571.0,21887.0,0.0,2614.0,11435.0,14115.0,13460.0,7852.0,5775.0,6564.0,6278.0,5754.0,999.0,1142.0,31.0,43304.0,26099.0,6616.0,24912.0,5104.0,25266.0,13870.0,6867.0
北京,2022-07-01,3901.0,27392.0,8784.0,4695.0,514.0,1075.0,205.0,9766.0,102.0,392.0,13211.0,26724.0,16107.0,0.0,1571.0,8858.0,11173.0,10972.0,5139.0,4000.0,4676.0,4974.0,3770.0,668.0,586.0,47.0,32758.0,19266.0,4410.0,19136.0,3266.0,18221.0,11268.0,4543.0
北京,2022-08-01,5455.0,36501.0,10945.0,5550.0,1102.0,1264.0,288.0,12214.0,150.0,628.0,18772.0,34208.0,19861.0,0.0,2199.0,11829.0,14133.0,13807.0,6961.0,5817.0,6073.0,5858.0,4627.0,1094.0,1014.0,57.0,41528.0,25283.0,6658.0,24433.0,4849.0,23924.0,13929.0,6334.0
北京,2022-09-01,5721.0,38682.0,10430.0,6010.0,868.0,1478.0,296.0,12336.0,190.0,1178.0,19924.0,35499.0,19410.0,0.0,2366.0,11188.0,15032.0,13637.0,6628.0,6277.0,5731.0,7143.0,5991.0,1094.0,850.0,74.0,41911.0,27256.0,6844.0,23968.0,4797.0,24984.0,14791.0,7471.0
北京,2022-10-01,5453.0,39316.0,10238.0,6088.0,1244.0,1707.0,247.0,11929.0,108.0,1511.0,18686.0,36008.0,20125.0,0.0,2463.0,11744.0,13984.0,14434.0,7093.0,6191.0,6398.0,6662.0,5010.0,1181.0,1091.0,79.0,43178.0,26187.0,6965.0,25879.0,4619.0,24563.0,14713.0,6556.0
北京,2022-11-01,5824.0,36727.0,10390.0,5863.0,1252.0,1281.0,369.0,13478.0,130.0,1241.0,14552.0,36482.0,23039.0,0.0,2386.0,12445.0,14145.0,13252.0,5974.0,6009.0,6166.0,7642.0,5053.0,957.0,1217.0,68.0,43706.0,24848.0,6760.0,25900.0,3985.0,24848.0,13941.0,6640.0
北京,2022-12-01,5508.0,36216.0,11599.0,5603.0,737.0,1121.0,340.0,12578.0,194.0,1827.0,14397.0,35208.0,22464.0,0.0,2153.0,10553.0,14312.0,13288.0,6952.0,6508.0,6287.0,6758.0,5328.0,908.0,822.0,27.0,42843.0,24938.0,6115.0,25257.0,4366.0,23860.0,12649.0,7764.0
北京,2023-01-01,6193.0,36258.0,10777.0,5922.0,692.0,1362.0,422.0,13241.0,215.0,714.0,18365.0,34041.0,21962.0,0.0,2466.0,12412.0,14612.0,12943.0,7361.0,6894.0,5540.0,5753.0,5261.0,1048.0,737.0,55.0,41579.0,27014.0,6489.0,25312.0,4558.0,23190.0,15109.0,6913.0
北京,2023-02-01,6022.0,38988.0,10291.0,5971.0,549.0,1374.0,370.0,13276.0,150.0,1108.0,13828.0,36160.0,25895.0,0.0,2296.0,12658.0,14829.0,12954.0,6702.0,7020.0,6529.0,7275.0,5345.0,673.0,634.0,76.0,44899.0,26008.0,6084.0,26956.0,4423.0,24293.0,14153.0,7166.0
北京,2023-03-01,5308.0,37842.0,10207.0,6083.0,1019.0,1245.0,458.0,13177.0,131.0,2936.0,16647.0,33320.0,22567.0,0.0,2837.0,12046.0,13664.0,12844.0,6233.0,6696.0,7026.0,6887.0,5314.0,841.0,1040.0,42.0,40755.0,28622.0,6093.0,23769.0,4787.0,23738.0,14445.0,8731.0
