city,date,MPV,SUV,medium_car,med_large_car,large_car,small_car,micro_car,compact_car,roadster,EVER,PHEV,FUEL,EV,0-5w,5-10w,10-15w,15-20w,20-25w,25-30w,30-35w,35-40w,40-50w,50-100w,100-150w,150-300w,300-1000w,joint_type,self_owned_type,imported_type,joint_brand,state_owned_brand,international_brand,self_owned_brand,new_force_brand
重庆,2022-06-01,2206.0,21845.0,5061.0,2342.0,315.0,1079.0,736.0,11527.0,30.0,851.0,12522.0,16139.0,15629.0,210.0,4255.0,12013.0,9746.0,5775.0,2903.0,2800.0,2700.0,1889.0,2284.0,298.0,268.0,0.0,21014.0,22586.0,1541.0,13194.0,3466.0,10120.0,14204.0,4157.0
重庆,2022-07-01,1371.0,15203.0,3658.0,1432.0,116.0,687.0,643.0,7606.0,11.0,840.0,8268.0,10871.0,10748.0,116.0,2893.0,8595.0,6130.0,4206.0,1839.0,1962.0,1839.0,1674.0,1156.0,175.0,142.0,0.0,13876.0,15821.0,1030.0,8333.0,2370.0,7125.0,10268.0,2631.0
重庆,2022-08-01,2393.0,19693.0,6121.0,2441.0,187.0,927.0,1058.0,9607.0,32.0,939.0,12676.0,15169.0,13675.0,166.0,4071.0,10368.0,8135.0,6427.0,2569.0,2575.0,3445.0,2355.0,1890.0,271.0,187.0,0.0,19268.0,21539.0,1652.0,11057.0,3337.0,10936.0,12682.0,4447.0
重庆,2022-09-01,1983.0,22034.0,5608.0,2255.0,271.0,1087.0,924.0,10813.0,4.0,1436.0,11042.0,16618.0,15883.0,220.0,4166.0,11215.0,8988.0,6001.0,3093.0,2725.0,2795.0,3291.0,2029.0,275.0,181.0,0.0,20709.0,22680.0,1590.0,12358.0,2968.0,10868.0,13767.0,5018.0
重庆,2022-10-01,2753.0,24394.0,5882.0,2160.0,117.0,976.0,452.0,10289.0,12.0,1319.0,12243.0,17485.0,15988.0,245.0,4229.0,12030.0,9097.0,6586.0,2555.0,3171.0,3063.0,3340.0,2488.0,127.0,104.0,0.0,21656.0,24094.0,1285.0,12397.0,3630.0,11417.0,14972.0,4619.0
重庆,2022-11-01,2268.0,20918.0,5462.0,2158.0,284.0,594.0,993.0,10973.0,34.0,507.0,10977.0,16197.0,16003.0,261.0,3878.0,12033.0,8086.0,6634.0,2905.0,2542.0,2352.0,2479.0,1899.0,380.0,235.0,0.0,20866.0,21126.0,1692.0,13699.0,3516.0,9941.0,12449.0,4079.0
重庆,2022-12-01,2120.0,22519.0,5268.0,2477.0,199.0,1298.0,837.0,11573.0,3.0,2185.0,11213.0,15703.0,17193.0,212.0,4356.0,11804.0,9188.0,7038.0,2501.0,2227.0,3212.0,3313.0,1884.0,325.0,234.0,0.0,20444.0,24214.0,1636.0,12466.0,3353.0,10221.0,14626.0,5628.0
重庆,2023-01-01,2929.0,22953.0,5137.0,2231.0,305.0,928.0,613.0,11406.0,9.0,1150.0,13058.0,15790.0,16513.0,270.0,4185.0,12884.0,9657.0,6467.0,2756.0,2486.0,2681.0,2927.0,1613.0,297.0,288.0,0.0,20662.0,24343.0,1506.0,13220.0,3435.0,10106.0,15221.0,4529.0
重庆,2023-02-01,1938.0,23316.0,5627.0,2569.0,294.0,941.0,861.0,11303.0,14.0,1145.0,13884.0,17232.0,14602.0,241.0,4027.0,11680.0,9900.0,7275.0,2626.0,2211.0,2878.0,3277.0,2154.0,302.0,292.0,0.0,21773.0,23357.0,1733.0,12688.0,3658.0,11772.0,14031.0,4714.0
重庆,2023-03-01,2213.0,23393.0,7328.0,2046.0,203.0,1034.0,663.0,10249.0,33.0,4294.0,12013.0,15849.0,15006.0,120.0,3587.0,11487.0,9465.0,6386.0,2784.0,2256.0,4131.0,4980.0,1542.0,248.0,176.0,0.0,20593.0,25242.0,1327.0,11995.0,2846.0,10612.0,14078.0,7631.0
重庆,2023-04-01,2168.0,24215.0,4979.0,2303.0,203.0,636.0,875.0,11461.0,24.0,2085.0,15936.0,16044.0,12799.0,133.0,3944.0,12915.0,8019.0,7392.0,2528.0,2836.0,3911.0,3106.0,1568.0,333.0,179.0,0.0,20352.0,24587.0,1925.0,12101.0,3537.0,10996.0,14418.0,5812.0
重庆,2023-05-01,2052.0,23189.0,6491.0,1852.0,237.0,1089.0,774.0,11361.0,39.0,1956.0,10263.0,16264.0,18601.0,149.0,3792.0,13021.0,9034.0,6623.0,2929.0,2673.0,3980.0,2511.0,1901.0,220.0,251.0,0.0,21722.0,23758.0,1604.0,12998.0,3941.0,10849.0,13870.0,5426.0
重庆,2023-06-01,2385.0,23086.0,4606.0,2152.0,235.0,1092.0,1167.0,11008.0,30.0,2186.0,11255.0,15854.0,16466.0,223.0,4434.0,11783.0,8823.0,5862.0,3237.0,2237.0,3844.0,2742.0,2092.0,208.0,276.0,0.0,20553.0,23563.0,1645.0,12591.0,3208.0,10609.0,14206.0,5147.0
重庆,2023-07-01,2160.0,24381.0,5343.0,1927.0,163.0,738.0,915.0,11805.0,15.0,2634.0,12403.0,15949.0,16461.0,178.0,4121.0,12032.0,10324.0,7130.0,2602.0,2517.0,3637.0,2859.0,1561.0,309.0,177.0,0.0,21177.0,24672.0,1598.0,12373.0,3579.0,11118.0,13340.0,7037.0
重庆,2023-08-01,1855.0,25213.0,4980.0,1976.0,213.0,770.0,1333.0,10229.0,38.0,2735.0,11464.0,15449.0,16959.0,208.0,4190.0,12185.0,9834.0,6216.0,2468.0,2853.0,3218.0,3041.0,1880.0,277.0,237.0,0.0,19555.0,25379.0,1673.0,11350.0,3308.0,11041.0,14413.0,6495.0
重庆,2023-09-01,2041.0,25709.0,5151.0,1540.0,211.0,832.0,1058.0,11449.0,34.0,3482.0,11594.0,15957.0,16992.0,241.0,4087.0,12799.0,10535.0,6147.0,2993.0,2962.0,3392.0,2713.0,1691.0,301.0,164.0,0.0,21033.0,25488.0,1504.0,12858.0,3481.0,10217.0,14614.0,6855.0
重庆,2023-10-01,2717.0,25767.0,5811.0,2317.0,186.0,656.0,933.0,10383.0,16.0,3725.0,12081.0,16899.0,16081.0,152.0,4523.0,11607.0,10083.0,6339.0,2715.0,3012.0,4296.0,3488.0,2078.0,287.0,206.0,0.0,21303.0,25959.0,1524.0,13187.0,3517.0,10749.0,13800.0,7533.0
重庆,2023-11-01,2114.0,24350.0,5761.0,2354.0,115.0,787.0,809.0,10905.0,26.0,3127.0,12929.0,16237.0,14928.0,346.0,3725.0,11581.0,10092.0,6249.0,3178.0,3090.0,3687.0,3053.0,1812.0,180.0,228.0,0.0,20575.0,24989.0,1657.0,12111.0,3875.0,11100.0,13365.0,6770.0
重庆,2023-12-01,2481.0,24155.0,5572.0,1845.0,173.0,1023.0,993.0,11640.0,15.0,4034.0,13752.0,16079.0,14032.0,232.0,4346.0,11468.0,10225.0,6798.0,2444.0,2788.0,4076.0,3359.0,1671.0,277.0,213.0,0.0,20368.0,26117.0,1412.0,11753.0,4210.0,10750.0,13639.0,7545.0
重庆,2024-01-01,2797.0,25732.0,5612.0,2052.0,294.0,913.0,758.0,10449.0,27.0,4047.0,15204.0,16278.0,13105.0,286.0,4194.0,12972.0,9703.0,6138.0,2819.0,3930.0,3591.0,2473.0,1958.0,367.0,203.0,0.0,20566.0,26580.0,1488.0,12818.0,3489.0,10387.0,14651.0,7289.0
重庆,2024-02-01,2471.0,22249.0,4681.0,2202.0,267.0,734.0,1131.0,11338.0,3.0,1977.0,9504.0,16006.0,17589.0,219.0,4176.0,11757.0,9798.0,5586.0,2359.0,2991.0,2832.0,2692.0,2100.0,303.0,263.0,0.0,20289.0,23130.0,1657.0,12212.0,3755.0,10653.0,13353.0,5103.0
重庆,2024-03-01,2428.0,24201.0,5458.0,2670.0,233.0,795.0,1101.0,10312.0,9.0,3041.0,14255.0,16296.0,13615.0,123.0,4771.0,11667.0,9047.0,6099.0,3734.0,2638.0,2982.0,3049.0,2531.0,328.0,238.0,0.0,20681.0,24522.0,2004.0,12125.0,3668.0,11442.0,13724.0,6248.0
重庆,2024-04-01,2107.0,23330.0,5045.0,2393.0,297.0,1051.0,771.0,10676.0,13.0,2852.0,13122.0,15365.0,14344.0,241.0,3985.0,11430.0,10165.0,5610.0,3124.0,2569.0,2593.0,2777.0,2542.0,367.0,280.0,0.0,19947.0,23819.0,1917.0,11643.0,3643.0,11044.0,13575.0,5778.0
重庆,2024-05-01,2714.0,24483.0,6174.0,1653.0,192.0,1063.0,842.0,10873.0,21.0,2907.0,10631.0,16107.0,18370.0,226.0,4379.0,11555.0,10471.0,7129.0,3473.0,2511.0,3311.0,2366.0,2098.0,264.0,232.0,0.0,21425.0,24995.0,1595.0,13446.0,3861.0,10643.0,13820.0,6245.0
重庆,2024-06-01,2350.0,26557.0,6165.0,2689.0,159.0,874.0,1024.0,10973.0,38.0,4950.0,12040.0,16715.0,17124.0,136.0,4581.0,11978.0,10537.0,7172.0,4903.0,2575.0,2924.0,2739.0,2790.0,269.0,225.0,0.0,21067.0,28111.0,1651.0,12858.0,3784.0,11313.0,14552.0,8322.0
重庆,2024-07-01,2318.0,26914.0,5412.0,2586.0,292.0,996.0,886.0,11403.0,13.0,4539.0,9943.0,17002.0,19336.0,149.0,4263.0,12264.0,11159.0,6582.0,5017.0,2548.0,3156.0,2795.0,2292.0,325.0,270.0,0.0,22376.0,26639.0,1805.0,13847.0,3661.0,11329.0,14350.0,7633.0
重庆,2024-08-01,1822.0,26124.0,5105.0,2057.0,213.0,919.0,1073.0,11057.0,1.0,4295.0,13267.0,16050.0,14759.0,217.0,3950.0,12056.0,10889.0,6622.0,4043.0,2075.0,2868.0,3027.0,2142.0,163.0,319.0,0.0,20238.0,26325.0,1808.0,12150.0,3561.0,10566.0,14705.0,7389.0
