city,date,MPV,SUV,medium_car,med_large_car,large_car,small_car,micro_car,compact_car,EVER,PHEV,FUEL,EV,0-5w,5-10w,10-15w,15-20w,20-25w,25-30w,30-35w,35-40w,40-50w,50-100w,100-150w,150-300w,300-1000w,joint_type,self_owned_type,imported_type,joint_brand,state_owned_brand,international_brand,self_owned_brand,new_force_brand
三明,2022-06-01,27.0,270.0,61.0,44.0,0.0,0.0,95.0,160.0,0.0,87.0,375.0,195.0,0.0,142.0,142.0,133.0,147.0,1.0,0.0,21.0,48.0,23.0,0.0,0.0,0.0,453.0,204.0,0.0,462.0,1.0,113.0,81.0,0.0
三明,2022-07-01,12.0,173.0,66.0,33.0,0.0,0.0,39.0,200.0,0.0,148.0,286.0,89.0,0.0,62.0,186.0,110.0,109.0,11.0,0.0,11.0,23.0,11.0,0.0,0.0,0.0,377.0,146.0,0.0,320.0,11.0,108.0,84.0,0.0
三明,2022-08-01,27.0,250.0,88.0,71.0,0.0,0.0,75.0,283.0,0.0,254.0,362.0,178.0,0.0,117.0,231.0,219.0,135.0,32.0,0.0,14.0,13.0,33.0,0.0,0.0,0.0,491.0,303.0,0.0,504.0,32.0,89.0,169.0,0.0
三明,2022-09-01,26.0,271.0,85.0,107.0,0.0,0.0,85.0,198.0,0.0,169.0,349.0,254.0,0.0,137.0,226.0,135.0,153.0,36.0,0.0,2.0,45.0,38.0,0.0,0.0,0.0,477.0,295.0,0.0,455.0,36.0,133.0,148.0,0.0
三明,2022-10-01,5.0,315.0,100.0,108.0,0.0,0.0,89.0,300.0,0.0,79.0,521.0,317.0,0.0,115.0,253.0,221.0,176.0,35.0,0.0,12.0,68.0,37.0,0.0,0.0,0.0,629.0,288.0,0.0,524.0,35.0,199.0,159.0,0.0
三明,2022-11-01,39.0,251.0,93.0,45.0,0.0,0.0,133.0,197.0,0.0,205.0,326.0,227.0,0.0,188.0,173.0,196.0,115.0,30.0,0.0,22.0,33.0,1.0,0.0,0.0,0.0,403.0,355.0,0.0,470.0,30.0,105.0,153.0,0.0
三明,2022-12-01,26.0,256.0,71.0,61.0,0.0,0.0,145.0,225.0,0.0,102.0,349.0,333.0,0.0,197.0,193.0,162.0,134.0,31.0,0.0,2.0,36.0,29.0,0.0,0.0,0.0,463.0,321.0,0.0,541.0,31.0,93.0,119.0,0.0
三明,2023-01-01,13.0,258.0,120.0,95.0,0.0,0.0,51.0,218.0,0.0,98.0,435.0,222.0,0.0,78.0,196.0,190.0,143.0,38.0,0.0,22.0,49.0,39.0,0.0,0.0,0.0,522.0,233.0,0.0,411.0,38.0,175.0,131.0,0.0
三明,2023-02-01,33.0,268.0,131.0,48.0,0.0,0.0,119.0,222.0,0.0,238.0,391.0,192.0,0.0,157.0,184.0,203.0,198.0,34.0,0.0,12.0,22.0,11.0,0.0,0.0,0.0,547.0,274.0,0.0,591.0,34.0,108.0,88.0,0.0
三明,2023-03-01,14.0,266.0,104.0,69.0,0.0,0.0,107.0,198.0,0.0,124.0,382.0,252.0,0.0,129.0,188.0,201.0,132.0,32.0,0.0,29.0,44.0,3.0,0.0,0.0,0.0,487.0,271.0,0.0,490.0,32.0,118.0,118.0,0.0
三明,2023-04-01,1.0,257.0,109.0,63.0,0.0,0.0,101.0,128.0,0.0,48.0,410.0,201.0,0.0,114.0,160.0,147.0,151.0,12.0,0.0,19.0,35.0,21.0,0.0,0.0,0.0,486.0,173.0,0.0,455.0,12.0,133.0,59.0,0.0
三明,2023-05-01,33.0,214.0,95.0,88.0,0.0,0.0,84.0,289.0,0.0,131.0,415.0,257.0,0.0,139.0,216.0,220.0,80.0,33.0,0.0,32.0,54.0,29.0,0.0,0.0,0.0,528.0,275.0,0.0,447.0,33.0,198.0,125.0,0.0
三明,2023-06-01,16.0,287.0,133.0,75.0,0.0,0.0,52.0,185.0,0.0,131.0,463.0,154.0,0.0,72.0,154.0,212.0,206.0,15.0,0.0,12.0,38.0,39.0,0.0,0.0,0.0,543.0,205.0,0.0,455.0,15.0,156.0,122.0,0.0
三明,2023-07-01,29.0,237.0,69.0,81.0,0.0,0.0,37.0,146.0,0.0,128.0,346.0,125.0,0.0,93.0,127.0,170.0,100.0,15.0,0.0,11.0,56.0,27.0,0.0,0.0,0.0,423.0,176.0,0.0,340.0,15.0,149.0,95.0,0.0
三明,2023-08-01,8.0,312.0,100.0,107.0,0.0,0.0,148.0,212.0,13.0,276.0,415.0,183.0,0.0,176.0,209.0,171.0,176.0,31.0,0.0,20.0,66.0,38.0,0.0,0.0,0.0,528.0,359.0,0.0,524.0,31.0,160.0,159.0,13.0
三明,2023-09-01,13.0,208.0,94.0,69.0,0.0,0.0,111.0,174.0,0.0,140.0,372.0,157.0,0.0,157.0,126.0,153.0,116.0,6.0,0.0,15.0,63.0,33.0,0.0,0.0,0.0,465.0,204.0,0.0,434.0,6.0,155.0,74.0,0.0
三明,2023-10-01,10.0,237.0,74.0,77.0,0.0,0.0,149.0,223.0,0.0,271.0,434.0,65.0,0.0,177.0,162.0,177.0,140.0,21.0,0.0,1.0,65.0,27.0,0.0,0.0,0.0,479.0,291.0,0.0,453.0,21.0,185.0,111.0,0.0
三明,2023-11-01,25.0,308.0,63.0,74.0,0.0,0.0,78.0,217.0,0.0,87.0,446.0,232.0,0.0,127.0,209.0,177.0,131.0,14.0,0.0,10.0,68.0,29.0,0.0,0.0,0.0,544.0,221.0,0.0,483.0,14.0,164.0,104.0,0.0
三明,2023-12-01,37.0,224.0,87.0,60.0,0.0,0.0,97.0,269.0,0.0,188.0,371.0,215.0,0.0,165.0,235.0,169.0,121.0,36.0,0.0,20.0,25.0,3.0,0.0,0.0,0.0,494.0,280.0,0.0,490.0,36.0,138.0,110.0,0.0
三明,2024-01-01,20.0,227.0,32.0,96.0,0.0,0.0,135.0,285.0,0.0,53.0,391.0,351.0,0.0,160.0,235.0,187.0,87.0,40.0,0.0,9.0,46.0,31.0,0.0,0.0,0.0,512.0,283.0,0.0,538.0,40.0,129.0,88.0,0.0
三明,2024-02-01,15.0,236.0,134.0,49.0,0.0,0.0,37.0,189.0,0.0,149.0,378.0,133.0,0.0,68.0,177.0,171.0,124.0,13.0,0.0,36.0,53.0,18.0,0.0,0.0,0.0,500.0,160.0,0.0,402.0,13.0,150.0,95.0,0.0
三明,2024-03-01,34.0,236.0,63.0,48.0,0.0,0.0,37.0,227.0,0.0,122.0,343.0,180.0,0.0,79.0,187.0,174.0,126.0,22.0,0.0,22.0,29.0,6.0,0.0,0.0,0.0,419.0,226.0,0.0,405.0,22.0,85.0,133.0,0.0
三明,2024-04-01,31.0,216.0,136.0,56.0,0.0,0.0,121.0,255.0,0.0,200.0,377.0,238.0,0.0,180.0,220.0,147.0,153.0,30.0,0.0,35.0,49.0,1.0,0.0,0.0,0.0,490.0,325.0,0.0,475.0,30.0,167.0,143.0,0.0
三明,2024-05-01,39.0,217.0,95.0,31.0,0.0,0.0,115.0,248.0,0.0,200.0,345.0,200.0,0.0,193.0,181.0,190.0,112.0,7.0,0.0,21.0,21.0,20.0,0.0,0.0,0.0,458.0,287.0,0.0,529.0,7.0,83.0,126.0,0.0
三明,2024-06-01,29.0,304.0,105.0,64.0,0.0,0.0,109.0,276.0,0.0,299.0,452.0,136.0,0.0,160.0,292.0,169.0,146.0,24.0,0.0,27.0,63.0,6.0,0.0,0.0,0.0,552.0,335.0,0.0,500.0,24.0,190.0,173.0,0.0
三明,2024-07-01,7.0,348.0,66.0,83.0,0.0,0.0,145.0,261.0,0.0,175.0,441.0,294.0,0.0,191.0,212.0,260.0,97.0,39.0,0.0,34.0,45.0,32.0,0.0,0.0,0.0,529.0,381.0,0.0,501.0,39.0,180.0,190.0,0.0
三明,2024-08-01,33.0,309.0,112.0,27.0,0.0,0.0,81.0,225.0,0.0,221.0,450.0,116.0,0.0,154.0,152.0,232.0,185.0,16.0,0.0,21.0,24.0,3.0,0.0,0.0,0.0,495.0,292.0,0.0,516.0,16.0,93.0,162.0,0.0
三明,2024-09-01,31.0,272.0,78.0,78.0,0.0,0.0,107.0,212.0,14.0,194.0,367.0,203.0,0.0,148.0,197.0,184.0,148.0,36.0,0.0,11.0,46.0,8.0,0.0,0.0,0.0,466.0,312.0,0.0,476.0,36.0,128.0,124.0,14.0
南平,2022-06-01,17.0,84.0,33.0,16.0,0.0,0.0,27.0,140.0,0.0,162.0,80.0,75.0,0.0,58.0,98.0,112.0,0.0,0.0,0.0,33.0,14.0,2.0,0.0,0.0,0.0,112.0,205.0,0.0,76.0,0.0,80.0,135.0,26.0
