city,date,MPV,SUV,medium_car,med_large_car,large_car,small_car,micro_car,compact_car,roadster,EVER,PHEV,FUEL,EV,0-5w,5-10w,10-15w,15-20w,20-25w,25-30w,30-35w,35-40w,40-50w,50-100w,100-150w,150-300w,300-1000w,joint_type,self_owned_type,imported_type,joint_brand,state_owned_brand,international_brand,self_owned_brand,new_force_brand
东莞,2022-06-01,1762.0,18157.0,5008.0,2134.0,223.0,1417.0,911.0,12968.0,34.0,833.0,9853.0,20097.0,11831.0,25.0,3133.0,12019.0,9795.0,6561.0,2025.0,2575.0,2100.0,2022.0,1840.0,412.0,107.0,0.0,23978.0,16619.0,2017.0,13597.0,4137.0,13268.0,8112.0,3500.0
东莞,2022-07-01,1225.0,12559.0,3862.0,1392.0,102.0,800.0,575.0,9757.0,15.0,603.0,6415.0,13706.0,9563.0,19.0,2440.0,8345.0,7376.0,4948.0,1246.0,1685.0,1455.0,1319.0,1165.0,157.0,132.0,0.0,16364.0,12376.0,1547.0,9668.0,2706.0,9063.0,6236.0,2614.0
东莞,2022-08-01,1546.0,18624.0,5304.0,2561.0,196.0,1060.0,950.0,13091.0,3.0,598.0,9822.0,19850.0,13065.0,1.0,3879.0,11204.0,9449.0,7391.0,2120.0,2361.0,2404.0,2158.0,1854.0,351.0,163.0,0.0,23763.0,17354.0,2218.0,13587.0,3446.0,13757.0,9196.0,3349.0
东莞,2022-09-01,1952.0,18758.0,4195.0,2338.0,220.0,1838.0,430.0,13027.0,3.0,754.0,8063.0,18966.0,14978.0,16.0,3507.0,12427.0,9521.0,6003.0,2002.0,2513.0,1986.0,2201.0,2011.0,364.0,210.0,0.0,22787.0,17729.0,2245.0,13315.0,4243.0,12375.0,9218.0,3610.0
东莞,2022-10-01,2217.0,19398.0,4156.0,1918.0,130.0,1151.0,591.0,13566.0,16.0,735.0,10562.0,18357.0,13489.0,2.0,3726.0,12060.0,10059.0,6393.0,1897.0,2798.0,1686.0,2424.0,1658.0,331.0,109.0,0.0,22194.0,18745.0,2204.0,13580.0,4217.0,11903.0,10018.0,3425.0
东莞,2022-11-01,1896.0,17979.0,4489.0,2001.0,304.0,901.0,626.0,12556.0,32.0,1022.0,7933.0,17625.0,14204.0,24.0,3898.0,9988.0,9190.0,6203.0,2265.0,2253.0,2316.0,2317.0,1681.0,447.0,202.0,0.0,20505.0,18138.0,2141.0,11607.0,3188.0,12021.0,9651.0,4317.0
东莞,2022-12-01,1733.0,19845.0,4911.0,2142.0,211.0,879.0,758.0,12992.0,26.0,1213.0,11064.0,18413.0,12807.0,33.0,3528.0,11244.0,10511.0,6074.0,2083.0,2566.0,2840.0,2599.0,1496.0,311.0,212.0,0.0,22228.0,19056.0,2213.0,13045.0,4122.0,12500.0,9197.0,4633.0
东莞,2023-01-01,1709.0,17839.0,5296.0,1840.0,207.0,1164.0,577.0,11833.0,2.0,884.0,9698.0,18180.0,11705.0,40.0,3379.0,9711.0,9708.0,7346.0,1696.0,2435.0,2419.0,1845.0,1353.0,348.0,187.0,0.0,21949.0,16657.0,1861.0,12981.0,3379.0,11802.0,8414.0,3891.0
东莞,2023-02-01,1949.0,18152.0,5337.0,2113.0,212.0,1869.0,773.0,13240.0,22.0,920.0,11482.0,19184.0,12081.0,36.0,3828.0,12208.0,9679.0,6647.0,1831.0,3167.0,2279.0,2176.0,1348.0,265.0,203.0,0.0,23229.0,18405.0,2033.0,13373.0,3801.0,12941.0,10028.0,3524.0
东莞,2023-03-01,2008.0,19778.0,5028.0,1701.0,186.0,1326.0,632.0,13016.0,2.0,1082.0,11495.0,19153.0,11947.0,22.0,3595.0,12296.0,9738.0,6481.0,1782.0,2808.0,2794.0,2215.0,1428.0,366.0,152.0,0.0,23257.0,18076.0,2344.0,14008.0,3936.0,12401.0,8808.0,4524.0
东莞,2023-04-01,1651.0,18376.0,4392.0,2016.0,267.0,1228.0,689.0,13313.0,32.0,1048.0,10591.0,17621.0,12704.0,4.0,3401.0,11014.0,10064.0,6215.0,2172.0,2597.0,2244.0,2048.0,1586.0,344.0,275.0,0.0,21305.0,18499.0,2160.0,11882.0,3804.0,12645.0,9299.0,4334.0
东莞,2023-05-01,1638.0,19093.0,4368.0,1963.0,187.0,1005.0,626.0,13595.0,26.0,991.0,10568.0,18970.0,11972.0,13.0,2930.0,12255.0,10164.0,6247.0,2143.0,2414.0,2153.0,2082.0,1521.0,426.0,153.0,0.0,22915.0,17279.0,2307.0,14308.0,3625.0,11871.0,8991.0,3706.0
东莞,2023-06-01,1809.0,19485.0,4944.0,1801.0,173.0,940.0,742.0,12746.0,2.0,1435.0,10381.0,18092.0,12734.0,32.0,3707.0,10611.0,9844.0,7022.0,1713.0,2745.0,2441.0,2245.0,1885.0,287.0,110.0,0.0,22087.0,18557.0,1998.0,13771.0,3950.0,11663.0,9048.0,4210.0
东莞,2023-07-01,1905.0,18891.0,5022.0,2160.0,246.0,1298.0,735.0,12923.0,38.0,1460.0,10557.0,18708.0,12493.0,35.0,3564.0,11494.0,10043.0,7040.0,1794.0,2708.0,2609.0,2046.0,1396.0,293.0,196.0,0.0,22366.0,18766.0,2086.0,13619.0,3406.0,12211.0,9524.0,4458.0
东莞,2023-08-01,1649.0,19941.0,4651.0,1709.0,241.0,1481.0,829.0,13213.0,14.0,1523.0,8850.0,18709.0,14646.0,33.0,4022.0,11734.0,10010.0,6380.0,1884.0,2804.0,2334.0,2462.0,1515.0,310.0,240.0,0.0,22973.0,18476.0,2279.0,13318.0,3676.0,13281.0,9213.0,4240.0
东莞,2023-09-01,1717.0,19946.0,5045.0,1964.0,249.0,1312.0,530.0,14463.0,25.0,1443.0,11043.0,19374.0,13391.0,39.0,3546.0,12299.0,10585.0,7412.0,1959.0,2970.0,2484.0,1977.0,1539.0,282.0,159.0,0.0,24074.0,19312.0,1865.0,14644.0,3816.0,12147.0,9376.0,5268.0
