city,date,MPV,SUV,medium_car,med_large_car,large_car,small_car,micro_car,compact_car,EVER,PHEV,FUEL,EV,0-5w,5-10w,10-15w,15-20w,20-25w,25-30w,30-35w,35-40w,40-50w,50-100w,100-150w,150-300w,300-1000w,joint_type,self_owned_type,imported_type,joint_brand,state_owned_brand,international_brand,self_owned_brand,new_force_brand
北海,2022-06-01,0.0,47.0,11.0,8.0,0.0,23.0,69.0,228.0,0.0,57.0,133.0,196.0,0.0,69.0,124.0,160.0,25.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,255.0,0.0,109.0,22.0,66.0,156.0,33.0
北海,2022-07-01,0.0,29.0,12.0,14.0,0.0,14.0,66.0,199.0,0.0,36.0,104.0,194.0,0.0,66.0,102.0,125.0,27.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,234.0,0.0,85.0,61.0,60.0,114.0,14.0
北海,2022-08-01,0.0,49.0,13.0,12.0,0.0,39.0,101.0,327.0,0.0,31.0,153.0,357.0,0.0,101.0,126.0,259.0,43.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,378.0,0.0,164.0,64.0,80.0,214.0,19.0
北海,2022-09-01,0.0,57.0,17.0,38.0,0.0,36.0,117.0,184.0,0.0,269.0,103.0,77.0,0.0,117.0,88.0,155.0,51.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,364.0,0.0,120.0,50.0,61.0,195.0,23.0
北海,2022-10-01,0.0,37.0,5.0,28.0,0.0,7.0,66.0,233.0,0.0,113.0,84.0,179.0,0.0,66.0,86.0,163.0,33.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,293.0,0.0,81.0,86.0,65.0,135.0,9.0
北海,2022-11-01,0.0,50.0,15.0,29.0,0.0,10.0,88.0,332.0,0.0,157.0,114.0,253.0,0.0,88.0,140.0,236.0,31.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,398.0,0.0,132.0,81.0,74.0,203.0,34.0
北海,2022-12-01,0.0,38.0,17.0,21.0,0.0,5.0,71.0,218.0,0.0,113.0,137.0,120.0,0.0,71.0,106.0,126.0,46.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,239.0,0.0,85.0,69.0,88.0,119.0,9.0
北海,2023-01-01,0.0,65.0,28.0,12.0,0.0,5.0,106.0,218.0,0.0,49.0,167.0,218.0,0.0,106.0,103.0,147.0,66.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,290.0,0.0,124.0,18.0,92.0,173.0,27.0
北海,2023-02-01,0.0,49.0,28.0,38.0,0.0,29.0,79.0,278.0,0.0,67.0,154.0,280.0,0.0,79.0,92.0,233.0,59.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,348.0,0.0,142.0,38.0,76.0,227.0,18.0
北海,2023-03-01,0.0,14.0,37.0,33.0,0.0,9.0,51.0,160.0,0.0,46.0,124.0,134.0,0.0,51.0,80.0,90.0,50.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,164.0,0.0,117.0,12.0,53.0,121.0,1.0
北海,2023-04-01,0.0,44.0,24.0,30.0,0.0,39.0,123.0,169.0,0.0,135.0,153.0,141.0,0.0,123.0,48.0,165.0,63.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,301.0,0.0,160.0,27.0,54.0,183.0,5.0
北海,2023-05-01,0.0,79.0,26.0,16.0,0.0,11.0,136.0,225.0,0.0,265.0,156.0,72.0,0.0,136.0,141.0,135.0,65.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,317.0,0.0,205.0,52.0,97.0,99.0,40.0
北海,2023-06-01,0.0,55.0,26.0,7.0,0.0,7.0,143.0,172.0,0.0,18.0,113.0,279.0,0.0,143.0,47.0,148.0,65.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,308.0,0.0,166.0,36.0,66.0,126.0,16.0
北海,2023-07-01,0.0,64.0,15.0,20.0,0.0,10.0,136.0,255.0,0.0,306.0,100.0,94.0,0.0,136.0,127.0,175.0,42.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,371.0,0.0,190.0,53.0,73.0,147.0,37.0
北海,2023-08-01,0.0,67.0,36.0,40.0,0.0,36.0,187.0,300.0,0.0,453.0,166.0,47.0,0.0,187.0,104.0,265.0,70.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,516.0,0.0,218.0,73.0,80.0,262.0,33.0
北海,2023-09-01,0.0,27.0,22.0,78.0,0.0,16.0,130.0,211.0,56.0,219.0,136.0,73.0,0.0,130.0,88.0,162.0,26.0,56.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,376.0,0.0,147.0,27.0,51.0,180.0,79.0
北海,2023-10-01,0.0,44.0,32.0,174.0,0.0,13.0,145.0,197.0,160.0,226.0,114.0,105.0,0.0,145.0,57.0,158.0,71.0,160.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,490.0,0.0,196.0,68.0,60.0,116.0,165.0
北海,2023-11-01,0.0,76.0,23.0,3.0,0.0,7.0,157.0,207.0,29.0,87.0,98.0,259.0,0.0,157.0,114.0,149.0,32.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,371.0,0.0,213.0,84.0,24.0,85.0,67.0
北海,2023-12-01,0.0,34.0,3.0,31.0,0.0,13.0,54.0,315.0,18.0,184.0,124.0,124.0,0.0,54.0,102.0,230.0,15.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,312.0,0.0,111.0,47.0,62.0,208.0,22.0
北海,2024-01-01,0.0,75.0,34.0,9.0,0.0,10.0,165.0,237.0,28.0,203.0,182.0,117.0,0.0,165.0,95.0,159.0,74.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,370.0,0.0,208.0,54.0,85.0,148.0,35.0
北海,2024-02-01,0.0,75.0,4.0,312.0,0.0,13.0,172.0,315.0,315.0,313.0,136.0,127.0,0.0,172.0,99.0,561.0,40.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,750.0,0.0,212.0,41.0,77.0,218.0,343.0
北海,2024-03-01,0.0,46.0,3.0,20.0,0.0,14.0,82.0,324.0,21.0,104.0,69.0,295.0,0.0,82.0,103.0,252.0,11.0,21.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,398.0,0.0,141.0,114.0,15.0,181.0,38.0
北海,2024-04-01,0.0,27.0,21.0,24.0,0.0,28.0,167.0,211.0,12.0,116.0,98.0,252.0,0.0,167.0,73.0,169.0,33.0,12.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,392.0,0.0,195.0,60.0,41.0,167.0,15.0
北海,2024-05-01,0.0,32.0,27.0,27.0,0.0,13.0,141.0,305.0,0.0,269.0,175.0,101.0,0.0,141.0,100.0,219.0,58.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,399.0,0.0,158.0,77.0,90.0,219.0,1.0
北海,2024-06-01,0.0,84.0,25.0,6.0,0.0,16.0,91.0,207.0,44.0,175.0,136.0,74.0,0.0,91.0,49.0,190.0,49.0,27.0,6.0,0.0,0.0,17.0,0.0,0.0,0.0,114.0,315.0,0.0,134.0,48.0,34.0,153.0,60.0
北海,2024-07-01,0.0,16.0,3.0,27.0,0.0,37.0,119.0,155.0,0.0,84.0,60.0,213.0,0.0,119.0,70.0,133.0,8.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,286.0,0.0,145.0,34.0,29.0,138.0,11.0
北海,2024-08-01,0.0,42.0,21.0,18.0,0.0,10.0,178.0,251.0,0.0,246.0,118.0,156.0,0.0,178.0,117.0,171.0,36.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,409.0,0.0,207.0,68.0,46.0,172.0,27.0
北海,2024-09-01,0.0,76.0,15.0,4.0,0.0,17.0,140.0,163.0,32.0,56.0,126.0,201.0,0.0,140.0,95.0,105.0,50.0,21.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,285.0,0.0,176.0,47.0,85.0,66.0,41.0
南宁,2022-06-01,615.0,6493.0,2659.0,869.0,45.0,863.0,1753.0,6697.0,359.0,3994.0,7755.0,7886.0,0.0,2798.0,5042.0,4621.0,2630.0,922.0,1133.0,1204.0,735.0,777.0,53.0,79.0,0.0,9588.0,9861.0,545.0,5912.0,1661.0,5522.0,5114.0,1785.0
南宁,2022-07-01,399.0,4238.0,1485.0,572.0,43.0,508.0,1370.0,4251.0,129.0,4363.0,5070.0,3304.0,0.0,2029.0,3397.0,2998.0,1829.0,415.0,555.0,657.0,522.0,345.0,61.0,58.0,0.0,6245.0,6267.0,354.0,4069.0,1095.0,3508.0,3128.0,1066.0
南宁,2022-08-01,656.0,6438.0,2145.0,871.0,35.0,522.0,1981.0,6875.0,178.0,5999.0,7550.0,5796.0,0.0,3162.0,5353.0,4314.0,2390.0,748.0,958.0,963.0,844.0,671.0,64.0,56.0,0.0,9679.0,9452.0,392.0,6173.0,1630.0,5379.0,4732.0,1609.0
南宁,2022-09-01,690.0,6079.0,2492.0,722.0,75.0,824.0,2054.0,6826.0,296.0,5301.0,6885.0,7280.0,0.0,3409.0,4955.0,4605.0,3201.0,700.0,921.0,505.0,937.0,366.0,105.0,58.0,0.0,8891.0,10451.0,420.0,5926.0,1921.0,4829.0,5008.0,2078.0
南宁,2022-10-01,721.0,6339.0,2297.0,1140.0,66.0,882.0,1663.0,6295.0,330.0,4297.0,7909.0,6867.0,0.0,2732.0,4596.0,4460.0,2680.0,570.0,964.0,1026.0,1471.0,797.0,40.0,67.0,0.0,9882.0,9111.0,410.0,5831.0,1461.0,5853.0,4567.0,1691.0
南宁,2022-11-01,629.0,6591.0,2418.0,672.0,68.0,546.0,2012.0,7300.0,370.0,5276.0,8135.0,6455.0,0.0,3078.0,5722.0,4331.0,2487.0,873.0,965.0,1020.0,1054.0,518.0,92.0,96.0,0.0,9846.0,9837.0,553.0,6142.0,1825.0,5481.0,4940.0,1848.0
南宁,2022-12-01,811.0,6999.0,3078.0,812.0,63.0,616.0,2078.0,6136.0,540.0,6879.0,8115.0,5059.0,0.0,3384.0,5089.0,3899.0,3128.0,826.0,925.0,1401.0,1356.0,431.0,82.0,72.0,0.0,10063.0,9972.0,558.0,6269.0,1629.0,5719.0,5092.0,1884.0
南宁,2023-01-01,754.0,6817.0,2299.0,583.0,88.0,656.0,1752.0,6279.0,420.0,5011.0,7694.0,6103.0,0.0,2839.0,5189.0,3920.0,2641.0,828.0,1106.0,1071.0,983.0,489.0,97.0,65.0,0.0,9522.0,9209.0,497.0,5563.0,1682.0,5645.0,4596.0,1742.0
南宁,2023-02-01,569.0,6190.0,2255.0,704.0,95.0,844.0,1358.0,6484.0,238.0,3646.0,7137.0,7478.0,0.0,2346.0,4674.0,4951.0,2540.0,819.0,928.0,724.0,942.0,399.0,109.0,67.0,0.0,8894.0,9112.0,493.0,5685.0,2011.0,4875.0,4245.0,1683.0
