city,date,MPV,SUV,medium_car,med_large_car,large_car,small_car,micro_car,compact_car,EVER,PHEV,FUEL,EV,0-5w,5-10w,10-15w,15-20w,20-25w,25-30w,30-35w,35-40w,40-50w,50-100w,100-150w,150-300w,300-1000w,joint_type,self_owned_type,imported_type,joint_brand,state_owned_brand,international_brand,self_owned_brand,new_force_brand
三亚,2022-06-01,636.0,1604.0,155.0,103.0,0.0,53.0,34.0,707.0,129.0,532.0,626.0,2005.0,0.0,91.0,762.0,1403.0,256.0,83.0,161.0,234.0,238.0,64.0,0.0,0.0,0.0,846.0,2397.0,49.0,356.0,416.0,505.0,1069.0,946.0
三亚,2022-07-01,270.0,927.0,155.0,102.0,0.0,27.0,12.0,376.0,48.0,325.0,498.0,998.0,0.0,46.0,374.0,747.0,239.0,69.0,75.0,130.0,149.0,40.0,0.0,0.0,0.0,601.0,1230.0,38.0,243.0,196.0,374.0,543.0,513.0
三亚,2022-08-01,478.0,1494.0,228.0,116.0,0.0,38.0,16.0,586.0,82.0,446.0,677.0,1751.0,0.0,108.0,617.0,1269.0,231.0,105.0,96.0,275.0,221.0,34.0,0.0,0.0,0.0,896.0,2017.0,43.0,389.0,286.0,529.0,898.0,854.0
三亚,2022-09-01,272.0,1431.0,280.0,109.0,0.0,19.0,27.0,870.0,109.0,652.0,726.0,1521.0,0.0,85.0,685.0,1239.0,312.0,96.0,139.0,191.0,215.0,46.0,0.0,0.0,0.0,912.0,2059.0,37.0,382.0,197.0,533.0,920.0,976.0
三亚,2022-10-01,364.0,1368.0,163.0,132.0,0.0,44.0,39.0,759.0,120.0,480.0,608.0,1661.0,0.0,93.0,692.0,1181.0,258.0,114.0,117.0,188.0,173.0,53.0,0.0,0.0,0.0,816.0,2014.0,39.0,351.0,227.0,464.0,997.0,830.0
三亚,2022-11-01,565.0,1649.0,239.0,73.0,0.0,15.0,3.0,734.0,135.0,399.0,727.0,2017.0,0.0,61.0,707.0,1590.0,246.0,113.0,171.0,141.0,205.0,44.0,0.0,0.0,0.0,930.0,2306.0,42.0,399.0,437.0,552.0,883.0,1007.0
三亚,2022-12-01,434.0,1563.0,243.0,116.0,0.0,63.0,39.0,617.0,122.0,420.0,666.0,1867.0,0.0,127.0,720.0,1330.0,300.0,82.0,98.0,203.0,181.0,34.0,0.0,0.0,0.0,826.0,2242.0,7.0,374.0,302.0,425.0,1068.0,906.0
三亚,2023-01-01,413.0,1613.0,201.0,164.0,0.0,8.0,10.0,686.0,147.0,557.0,632.0,1759.0,0.0,78.0,704.0,1439.0,237.0,58.0,141.0,201.0,174.0,63.0,0.0,0.0,0.0,765.0,2267.0,63.0,280.0,265.0,522.0,1078.0,950.0
三亚,2023-02-01,545.0,1496.0,251.0,67.0,0.0,50.0,33.0,565.0,104.0,815.0,525.0,1563.0,0.0,83.0,612.0,1438.0,249.0,83.0,101.0,170.0,238.0,33.0,0.0,0.0,0.0,688.0,2307.0,12.0,294.0,412.0,379.0,898.0,1024.0
三亚,2023-03-01,466.0,1666.0,196.0,136.0,0.0,34.0,21.0,599.0,200.0,736.0,531.0,1651.0,0.0,77.0,672.0,1359.0,235.0,96.0,173.0,182.0,241.0,83.0,0.0,0.0,0.0,700.0,2402.0,16.0,307.0,283.0,382.0,1033.0,1113.0
三亚,2023-04-01,445.0,1526.0,157.0,134.0,0.0,74.0,1.0,581.0,173.0,563.0,622.0,1560.0,0.0,59.0,759.0,1096.0,258.0,103.0,131.0,278.0,172.0,62.0,0.0,0.0,0.0,818.0,2053.0,47.0,334.0,167.0,528.0,1049.0,840.0
三亚,2023-05-01,462.0,1727.0,196.0,126.0,0.0,60.0,39.0,676.0,249.0,896.0,676.0,1465.0,0.0,86.0,699.0,1349.0,273.0,100.0,192.0,289.0,224.0,74.0,0.0,0.0,0.0,999.0,2269.0,18.0,506.0,237.0,495.0,994.0,1054.0
三亚,2023-06-01,316.0,1433.0,137.0,101.0,0.0,58.0,29.0,654.0,151.0,597.0,606.0,1374.0,0.0,71.0,777.0,1028.0,260.0,82.0,114.0,219.0,139.0,38.0,0.0,0.0,0.0,806.0,1894.0,28.0,388.0,172.0,431.0,1103.0,634.0
三亚,2023-07-01,503.0,1582.0,182.0,127.0,0.0,57.0,17.0,705.0,280.0,690.0,690.0,1513.0,0.0,73.0,572.0,1538.0,237.0,114.0,188.0,219.0,172.0,60.0,0.0,0.0,0.0,909.0,2228.0,36.0,421.0,429.0,509.0,977.0,837.0
三亚,2023-08-01,621.0,1541.0,283.0,97.0,0.0,65.0,15.0,579.0,277.0,346.0,605.0,1973.0,0.0,71.0,620.0,1431.0,271.0,45.0,154.0,295.0,236.0,78.0,0.0,0.0,0.0,782.0,2386.0,33.0,352.0,418.0,435.0,1015.0,981.0
三亚,2023-09-01,286.0,1265.0,203.0,170.0,0.0,13.0,25.0,719.0,192.0,512.0,492.0,1485.0,0.0,52.0,507.0,1245.0,173.0,60.0,77.0,286.0,184.0,97.0,0.0,0.0,0.0,747.0,1878.0,56.0,361.0,126.0,413.0,899.0,882.0
三亚,2023-10-01,613.0,1575.0,258.0,115.0,0.0,49.0,6.0,643.0,217.0,230.0,722.0,2090.0,0.0,58.0,613.0,1493.0,325.0,106.0,126.0,292.0,182.0,64.0,0.0,0.0,0.0,928.0,2302.0,29.0,374.0,417.0,569.0,999.0,900.0
三亚,2023-11-01,353.0,1492.0,247.0,104.0,0.0,43.0,25.0,678.0,284.0,609.0,593.0,1456.0,0.0,80.0,586.0,1192.0,208.0,56.0,137.0,301.0,308.0,74.0,0.0,0.0,0.0,688.0,2218.0,36.0,266.0,210.0,435.0,1013.0,1018.0
三亚,2023-12-01,609.0,1828.0,248.0,72.0,0.0,59.0,38.0,721.0,372.0,1041.0,626.0,1536.0,0.0,98.0,661.0,1752.0,309.0,86.0,119.0,261.0,254.0,35.0,0.0,0.0,0.0,735.0,2824.0,16.0,363.0,560.0,382.0,1055.0,1215.0
三亚,2024-01-01,454.0,1753.0,286.0,86.0,0.0,39.0,8.0,687.0,371.0,327.0,604.0,2011.0,0.0,80.0,549.0,1553.0,285.0,73.0,217.0,219.0,286.0,51.0,0.0,0.0,0.0,741.0,2543.0,29.0,357.0,395.0,408.0,968.0,1185.0
三亚,2024-02-01,426.0,1641.0,199.0,100.0,0.0,33.0,28.0,687.0,247.0,888.0,625.0,1354.0,0.0,48.0,663.0,1402.0,258.0,76.0,221.0,202.0,197.0,47.0,0.0,0.0,0.0,812.0,2256.0,46.0,387.0,314.0,444.0,926.0,1043.0
三亚,2024-03-01,304.0,1808.0,146.0,135.0,0.0,32.0,4.0,583.0,341.0,705.0,613.0,1353.0,0.0,47.0,616.0,1215.0,246.0,158.0,197.0,169.0,281.0,83.0,0.0,0.0,0.0,825.0,2158.0,29.0,352.0,208.0,476.0,827.0,1149.0
