city,date,MPV,SUV,medium_car,med_large_car,large_car,small_car,micro_car,compact_car,roadster,EVER,PHEV,FUEL,EV,0-5w,5-10w,10-15w,15-20w,20-25w,25-30w,30-35w,35-40w,40-50w,50-100w,100-150w,150-300w,300-1000w,joint_type,self_owned_type,imported_type,joint_brand,state_owned_brand,international_brand,self_owned_brand,new_force_brand
三门峡,2022-06-01,43.0,748.0,0.0,0.0,0.0,134.0,94.0,523.0,0.0,0.0,408.0,421.0,713.0,0.0,241.0,670.0,450.0,139.0,26.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,705.0,837.0,0.0,674.0,44.0,134.0,684.0,6.0
三门峡,2022-07-01,26.0,519.0,0.0,0.0,0.0,49.0,117.0,276.0,0.0,0.0,316.0,298.0,373.0,0.0,232.0,398.0,212.0,110.0,21.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,429.0,558.0,0.0,446.0,42.0,94.0,392.0,13.0
三门峡,2022-08-01,51.0,817.0,0.0,0.0,0.0,148.0,52.0,434.0,0.0,0.0,633.0,475.0,394.0,0.0,266.0,606.0,420.0,135.0,40.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,688.0,814.0,0.0,591.0,46.0,144.0,702.0,19.0
三门峡,2022-09-01,20.0,784.0,0.0,0.0,0.0,166.0,134.0,531.0,0.0,0.0,744.0,398.0,493.0,0.0,314.0,736.0,385.0,173.0,15.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,647.0,988.0,0.0,650.0,79.0,105.0,790.0,11.0
三门峡,2022-10-01,25.0,877.0,0.0,0.0,0.0,153.0,140.0,452.0,0.0,0.0,518.0,517.0,612.0,0.0,283.0,612.0,577.0,146.0,20.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,751.0,896.0,0.0,810.0,92.0,93.0,640.0,12.0
三门峡,2022-11-01,62.0,706.0,0.0,0.0,0.0,117.0,164.0,461.0,0.0,0.0,359.0,454.0,697.0,0.0,362.0,529.0,472.0,94.0,22.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,606.0,904.0,0.0,668.0,75.0,93.0,666.0,8.0
三门峡,2022-12-01,50.0,651.0,0.0,0.0,0.0,89.0,110.0,484.0,0.0,0.0,355.0,502.0,527.0,0.0,333.0,514.0,375.0,119.0,6.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,701.0,683.0,0.0,672.0,32.0,131.0,538.0,11.0
三门峡,2023-01-01,52.0,801.0,0.0,0.0,0.0,58.0,183.0,453.0,0.0,0.0,369.0,407.0,771.0,0.0,337.0,567.0,504.0,110.0,8.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,645.0,902.0,0.0,745.0,55.0,80.0,640.0,27.0
三门峡,2023-02-01,59.0,712.0,0.0,0.0,0.0,141.0,77.0,565.0,0.0,0.0,504.0,452.0,598.0,0.0,263.0,596.0,582.0,49.0,31.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,778.0,776.0,0.0,774.0,40.0,86.0,642.0,12.0
三门峡,2023-03-01,42.0,834.0,0.0,0.0,0.0,118.0,74.0,467.0,0.0,0.0,446.0,504.0,585.0,0.0,215.0,680.0,495.0,129.0,3.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,688.0,847.0,0.0,646.0,80.0,120.0,669.0,20.0
