city,date,MPV,SUV,medium_car,med_large_car,large_car,small_car,micro_car,compact_car,EVER,PHEV,FUEL,EV,0-5w,5-10w,10-15w,15-20w,20-25w,25-30w,30-35w,35-40w,40-50w,50-100w,100-150w,150-300w,300-1000w,joint_type,self_owned_type,imported_type,joint_brand,state_owned_brand,international_brand,self_owned_brand,new_force_brand
娄底,2022-06-01,157.0,899.0,206.0,72.0,0.0,0.0,126.0,624.0,0.0,614.0,829.0,641.0,0.0,377.0,656.0,515.0,320.0,78.0,5.0,90.0,29.0,14.0,0.0,0.0,0.0,1254.0,830.0,0.0,1259.0,68.0,255.0,502.0,0.0
娄底,2022-07-01,72.0,697.0,175.0,39.0,0.0,0.0,48.0,509.0,0.0,331.0,741.0,468.0,0.0,198.0,561.0,330.0,295.0,50.0,11.0,52.0,32.0,11.0,0.0,0.0,0.0,987.0,553.0,0.0,862.0,41.0,243.0,394.0,0.0
娄底,2022-08-01,171.0,1111.0,233.0,66.0,0.0,0.0,105.0,694.0,0.0,702.0,953.0,725.0,0.0,465.0,729.0,573.0,412.0,78.0,3.0,68.0,38.0,14.0,0.0,0.0,0.0,1400.0,980.0,0.0,1415.0,56.0,260.0,649.0,0.0
娄底,2022-09-01,122.0,1194.0,226.0,73.0,0.0,0.0,103.0,826.0,0.0,391.0,1151.0,1002.0,0.0,403.0,901.0,664.0,324.0,95.0,29.0,84.0,5.0,39.0,0.0,0.0,0.0,1491.0,1053.0,0.0,1396.0,80.0,327.0,741.0,0.0
娄底,2022-10-01,134.0,1156.0,201.0,100.0,0.0,0.0,73.0,790.0,0.0,575.0,1076.0,803.0,0.0,402.0,819.0,582.0,372.0,70.0,13.0,89.0,75.0,32.0,0.0,0.0,0.0,1519.0,935.0,0.0,1357.0,65.0,369.0,663.0,0.0
娄底,2022-11-01,135.0,961.0,297.0,48.0,0.0,0.0,123.0,816.0,0.0,478.0,1217.0,685.0,0.0,369.0,914.0,428.0,443.0,40.0,15.0,125.0,27.0,19.0,0.0,0.0,0.0,1603.0,777.0,0.0,1454.0,47.0,402.0,477.0,0.0
娄底,2022-12-01,166.0,1121.0,261.0,81.0,0.0,0.0,45.0,768.0,0.0,392.0,1219.0,831.0,0.0,322.0,904.0,562.0,406.0,53.0,23.0,77.0,65.0,30.0,0.0,0.0,0.0,1635.0,807.0,0.0,1393.0,68.0,445.0,536.0,0.0
娄底,2023-01-01,149.0,1142.0,222.0,76.0,0.0,0.0,37.0,748.0,0.0,671.0,950.0,753.0,0.0,341.0,878.0,550.0,354.0,97.0,21.0,62.0,40.0,31.0,0.0,0.0,0.0,1386.0,988.0,0.0,1242.0,72.0,349.0,711.0,0.0
娄底,2023-02-01,204.0,1113.0,259.0,30.0,0.0,0.0,102.0,754.0,0.0,716.0,1078.0,668.0,0.0,498.0,842.0,474.0,439.0,70.0,25.0,70.0,38.0,6.0,0.0,0.0,0.0,1433.0,1029.0,0.0,1342.0,46.0,419.0,655.0,0.0
娄底,2023-03-01,90.0,896.0,275.0,22.0,0.0,0.0,75.0,733.0,0.0,373.0,968.0,750.0,0.0,294.0,820.0,418.0,381.0,33.0,14.0,90.0,30.0,11.0,0.0,0.0,0.0,1303.0,788.0,0.0,1094.0,72.0,365.0,560.0,0.0
