city,date,MPV,SUV,medium_car,med_large_car,small_car,micro_car,compact_car,EVER,PHEV,FUEL,EV,0-5w,5-10w,10-15w,15-20w,20-25w,25-30w,30-35w,35-40w,40-50w,50-100w,100-150w,150-300w,300-1000w,joint_type,self_owned_type,imported_type,joint_brand,state_owned_brand,international_brand,self_owned_brand,new_force_brand
乌兰察布,2022-06-01,0.0,445.0,38.0,0.0,0.0,0.0,323.0,0.0,201.0,189.0,416.0,0.0,279.0,261.0,146.0,83.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,505.0,301.0,0.0,406.0,0.0,99.0,301.0,0.0
乌兰察布,2022-07-01,0.0,336.0,12.0,0.0,0.0,0.0,168.0,0.0,236.0,126.0,154.0,0.0,143.0,213.0,75.0,67.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0,206.0,0.0,236.0,0.0,74.0,206.0,0.0
乌兰察布,2022-08-01,0.0,350.0,34.0,0.0,0.0,0.0,411.0,0.0,223.0,182.0,390.0,0.0,354.0,290.0,44.0,67.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,548.0,247.0,0.0,450.0,0.0,98.0,247.0,0.0
乌兰察布,2022-09-01,0.0,415.0,31.0,0.0,0.0,0.0,472.0,0.0,292.0,181.0,445.0,0.0,389.0,328.0,109.0,76.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,618.0,300.0,0.0,530.0,0.0,88.0,300.0,0.0
乌兰察布,2022-10-01,0.0,508.0,23.0,0.0,0.0,0.0,335.0,0.0,265.0,181.0,420.0,0.0,310.0,343.0,102.0,103.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,538.0,328.0,0.0,411.0,0.0,127.0,328.0,0.0
乌兰察布,2022-11-01,0.0,378.0,23.0,0.0,0.0,0.0,389.0,0.0,206.0,147.0,437.0,0.0,336.0,235.0,111.0,95.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,559.0,231.0,0.0,485.0,0.0,74.0,231.0,0.0
乌兰察布,2022-12-01,0.0,501.0,20.0,0.0,0.0,0.0,211.0,0.0,215.0,172.0,345.0,0.0,143.0,406.0,109.0,72.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,364.0,368.0,0.0,261.0,0.0,103.0,368.0,0.0
乌兰察布,2023-01-01,0.0,420.0,39.0,0.0,0.0,0.0,235.0,0.0,251.0,163.0,280.0,0.0,165.0,322.0,113.0,92.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,384.0,310.0,0.0,278.0,0.0,106.0,310.0,0.0
乌兰察布,2023-02-01,0.0,441.0,3.0,0.0,0.0,0.0,180.0,0.0,163.0,162.0,299.0,0.0,93.0,323.0,114.0,75.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,344.0,280.0,0.0,227.0,0.0,117.0,280.0,0.0
乌兰察布,2023-03-01,0.0,381.0,32.0,0.0,0.0,0.0,349.0,0.0,387.0,186.0,189.0,0.0,331.0,211.0,87.0,107.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,532.0,230.0,0.0,428.0,0.0,104.0,230.0,0.0
