city,date,MPV,SUV,medium_car,med_large_car,large_car,small_car,micro_car,compact_car,roadster,EVER,PHEV,FUEL,EV,0-5w,5-10w,10-15w,15-20w,20-25w,25-30w,30-35w,35-40w,40-50w,50-100w,100-150w,150-300w,300-1000w,joint_type,self_owned_type,imported_type,joint_brand,state_owned_brand,international_brand,self_owned_brand,new_force_brand
南京,2022-06-01,1852.0,12717.0,5381.0,2477.0,258.0,1086.0,625.0,7590.0,23.0,589.0,7660.0,13859.0,9901.0,37.0,1951.0,5790.0,6154.0,5135.0,2176.0,3646.0,2254.0,2650.0,1782.0,199.0,235.0,0.0,19504.0,10959.0,1546.0,11362.0,1606.0,10355.0,6050.0,2636.0
南京,2022-07-01,1187.0,8631.0,3828.0,1637.0,163.0,529.0,495.0,5353.0,15.0,310.0,5221.0,9861.0,6446.0,30.0,1322.0,3958.0,4319.0,3392.0,1315.0,2146.0,1909.0,1845.0,1238.0,175.0,189.0,0.0,13379.0,7093.0,1366.0,7608.0,919.0,7463.0,3973.0,1875.0
南京,2022-08-01,2075.0,13557.0,6071.0,2853.0,238.0,964.0,1145.0,7139.0,6.0,651.0,8745.0,14784.0,9868.0,35.0,2621.0,5952.0,6153.0,5491.0,2271.0,4122.0,2853.0,2359.0,1854.0,208.0,129.0,0.0,20256.0,12402.0,1390.0,11602.0,1599.0,10491.0,6585.0,3771.0
南京,2022-09-01,2278.0,13326.0,5399.0,1906.0,248.0,658.0,846.0,7719.0,24.0,589.0,8674.0,14283.0,8858.0,68.0,2281.0,4989.0,7157.0,5156.0,1998.0,3196.0,2570.0,2924.0,1551.0,255.0,259.0,0.0,19898.0,10504.0,2002.0,12117.0,1526.0,10284.0,5714.0,2763.0
南京,2022-10-01,1904.0,13189.0,6075.0,2736.0,294.0,914.0,931.0,7652.0,1.0,478.0,9304.0,13927.0,9987.0,43.0,2246.0,5611.0,6880.0,4922.0,2584.0,2958.0,3095.0,2990.0,1806.0,259.0,302.0,0.0,19481.0,12171.0,2044.0,11212.0,1666.0,10613.0,6721.0,3484.0
南京,2022-11-01,1874.0,14046.0,5564.0,2536.0,159.0,1180.0,659.0,7744.0,35.0,859.0,5995.0,15699.0,11244.0,39.0,2274.0,5892.0,6438.0,5270.0,2186.0,3498.0,2660.0,3229.0,1909.0,129.0,273.0,0.0,20655.0,11643.0,1499.0,11939.0,1587.0,10718.0,5973.0,3580.0
南京,2022-12-01,1834.0,13013.0,5347.0,2649.0,168.0,625.0,886.0,7380.0,29.0,785.0,7645.0,14411.0,9090.0,49.0,2064.0,5403.0,6374.0,4819.0,2142.0,3368.0,2802.0,2797.0,1745.0,225.0,143.0,0.0,19336.0,10575.0,2020.0,11896.0,1306.0,9959.0,6039.0,2731.0
南京,2023-01-01,2101.0,13126.0,5232.0,2758.0,204.0,839.0,632.0,7970.0,32.0,567.0,9170.0,14639.0,8518.0,56.0,1783.0,6138.0,6102.0,5260.0,2103.0,3366.0,2735.0,2929.0,2017.0,167.0,238.0,0.0,19401.0,11197.0,2296.0,10903.0,1496.0,11299.0,5994.0,3202.0
南京,2023-02-01,2238.0,13119.0,4845.0,1784.0,284.0,884.0,641.0,8030.0,5.0,427.0,5378.0,13828.0,12197.0,14.0,2172.0,5483.0,7154.0,4698.0,1880.0,2869.0,2284.0,3118.0,1707.0,170.0,281.0,0.0,19110.0,11019.0,1701.0,12019.0,1545.0,9360.0,6257.0,2649.0
南京,2023-03-01,1718.0,13527.0,5449.0,2760.0,232.0,668.0,691.0,7488.0,29.0,926.0,8498.0,14640.0,8498.0,49.0,1964.0,5370.0,6261.0,5668.0,2147.0,3360.0,2827.0,2776.0,1653.0,339.0,148.0,0.0,19465.0,11221.0,1876.0,11058.0,1479.0,11060.0,5594.0,3371.0
