city,date,MPV,SUV,medium_car,med_large_car,large_car,small_car,micro_car,compact_car,roadster,EVER,PHEV,FUEL,EV,0-5w,5-10w,10-15w,15-20w,20-25w,25-30w,30-35w,35-40w,40-50w,50-100w,100-150w,150-300w,300-1000w,joint_type,self_owned_type,imported_type,joint_brand,state_owned_brand,international_brand,self_owned_brand,new_force_brand
上饶,2022-06-01,96.0,1991.0,511.0,106.0,0.0,42.0,80.0,1275.0,0.0,0.0,762.0,1948.0,1391.0,0.0,431.0,1596.0,988.0,740.0,49.0,48.0,107.0,93.0,49.0,0.0,0.0,0.0,2535.0,1566.0,0.0,1780.0,142.0,956.0,1104.0,119.0
上饶,2022-07-01,74.0,1175.0,327.0,63.0,0.0,39.0,95.0,950.0,0.0,0.0,735.0,1220.0,768.0,0.0,342.0,990.0,575.0,466.0,41.0,70.0,121.0,91.0,27.0,0.0,0.0,0.0,1676.0,1047.0,0.0,1291.0,115.0,556.0,687.0,74.0
上饶,2022-08-01,100.0,1802.0,446.0,78.0,0.0,50.0,94.0,1127.0,0.0,0.0,896.0,1768.0,1033.0,0.0,364.0,1359.0,1001.0,607.0,54.0,79.0,119.0,53.0,61.0,0.0,0.0,0.0,2149.0,1548.0,0.0,1696.0,111.0,639.0,1114.0,137.0
上饶,2022-09-01,160.0,2084.0,474.0,48.0,0.0,32.0,94.0,1430.0,0.0,0.0,1549.0,1845.0,928.0,0.0,468.0,1751.0,933.0,758.0,49.0,75.0,166.0,82.0,40.0,0.0,0.0,0.0,2625.0,1697.0,0.0,2145.0,161.0,720.0,1139.0,157.0
上饶,2022-10-01,185.0,2316.0,610.0,117.0,0.0,26.0,144.0,1412.0,0.0,0.0,1647.0,2009.0,1154.0,0.0,475.0,1792.0,1022.0,1036.0,37.0,103.0,121.0,182.0,42.0,0.0,0.0,0.0,3032.0,1778.0,0.0,2416.0,142.0,941.0,1080.0,231.0
上饶,2022-11-01,126.0,1729.0,453.0,85.0,0.0,57.0,63.0,1211.0,0.0,0.0,1100.0,1636.0,988.0,0.0,395.0,1488.0,802.0,712.0,11.0,72.0,113.0,83.0,48.0,0.0,0.0,0.0,2132.0,1592.0,0.0,1510.0,100.0,796.0,1145.0,173.0
上饶,2022-12-01,166.0,1755.0,597.0,87.0,0.0,58.0,40.0,1260.0,0.0,0.0,1154.0,1890.0,919.0,0.0,395.0,1469.0,768.0,843.0,32.0,109.0,208.0,79.0,60.0,0.0,0.0,0.0,2604.0,1359.0,0.0,1831.0,106.0,972.0,883.0,171.0
上饶,2023-01-01,110.0,1837.0,474.0,51.0,0.0,35.0,128.0,1438.0,0.0,0.0,1019.0,1901.0,1153.0,0.0,414.0,1709.0,880.0,645.0,40.0,89.0,210.0,61.0,25.0,0.0,0.0,0.0,2421.0,1652.0,0.0,1804.0,104.0,838.0,1158.0,169.0
上饶,2023-02-01,106.0,1799.0,590.0,71.0,0.0,43.0,64.0,1522.0,0.0,0.0,1069.0,1989.0,1137.0,0.0,318.0,1740.0,971.0,677.0,25.0,139.0,236.0,28.0,61.0,0.0,0.0,0.0,2759.0,1436.0,0.0,1942.0,74.0,987.0,1071.0,121.0
上饶,2023-03-01,77.0,1853.0,470.0,69.0,0.0,69.0,147.0,1085.0,0.0,0.0,1012.0,1706.0,1052.0,0.0,482.0,1402.0,884.0,639.0,15.0,62.0,155.0,93.0,38.0,0.0,0.0,0.0,2131.0,1639.0,0.0,1505.0,155.0,872.0,1052.0,186.0
上饶,2023-04-01,138.0,1973.0,414.0,108.0,0.0,36.0,52.0,1419.0,0.0,0.0,834.0,2032.0,1274.0,0.0,368.0,1585.0,970.0,733.0,50.0,36.0,229.0,98.0,71.0,0.0,0.0,0.0,2609.0,1531.0,0.0,1793.0,124.0,1012.0,1034.0,177.0
上饶,2023-05-01,106.0,1956.0,481.0,142.0,0.0,41.0,83.0,1276.0,0.0,0.0,1030.0,1880.0,1175.0,0.0,339.0,1705.0,928.0,606.0,63.0,107.0,144.0,123.0,70.0,0.0,0.0,0.0,2597.0,1488.0,0.0,1845.0,122.0,930.0,1047.0,141.0
