city,date,MPV,SUV,medium_car,med_large_car,large_car,small_car,micro_car,compact_car,EVER,PHEV,FUEL,EV,0-5w,5-10w,10-15w,15-20w,20-25w,25-30w,30-35w,35-40w,40-50w,50-100w,100-150w,150-300w,300-1000w,joint_type,self_owned_type,imported_type,joint_brand,state_owned_brand,international_brand,self_owned_brand,new_force_brand
吉林,2022-06-01,116.0,1967.0,366.0,77.0,0.0,80.0,0.0,1500.0,16.0,856.0,2481.0,753.0,0.0,546.0,1594.0,772.0,662.0,238.0,37.0,53.0,127.0,77.0,0.0,0.0,0.0,2859.0,1228.0,19.0,1688.0,186.0,1247.0,929.0,56.0
吉林,2022-07-01,160.0,1268.0,229.0,32.0,0.0,63.0,0.0,730.0,18.0,568.0,1383.0,513.0,0.0,354.0,933.0,458.0,439.0,97.0,58.0,66.0,45.0,32.0,0.0,0.0,0.0,1616.0,841.0,25.0,1118.0,152.0,613.0,581.0,18.0
吉林,2022-08-01,267.0,1903.0,431.0,96.0,0.0,60.0,0.0,1446.0,0.0,768.0,2252.0,1183.0,0.0,747.0,1647.0,631.0,654.0,226.0,94.0,31.0,77.0,96.0,0.0,0.0,0.0,2715.0,1473.0,15.0,1777.0,305.0,1155.0,932.0,34.0
吉林,2022-09-01,230.0,1937.0,447.0,124.0,0.0,77.0,0.0,1203.0,16.0,1178.0,2317.0,507.0,0.0,744.0,1321.0,644.0,675.0,204.0,89.0,54.0,163.0,124.0,0.0,0.0,0.0,2552.0,1431.0,35.0,1517.0,253.0,1239.0,976.0,33.0
吉林,2022-10-01,207.0,1588.0,367.0,79.0,0.0,75.0,0.0,1313.0,13.0,419.0,2325.0,872.0,0.0,468.0,1354.0,774.0,588.0,131.0,81.0,99.0,55.0,79.0,0.0,0.0,0.0,2552.0,1040.0,37.0,1409.0,207.0,1270.0,703.0,40.0
吉林,2022-11-01,157.0,2007.0,483.0,148.0,0.0,110.0,0.0,1459.0,0.0,1028.0,2707.0,629.0,0.0,615.0,1714.0,732.0,698.0,205.0,31.0,54.0,167.0,148.0,0.0,0.0,0.0,3034.0,1312.0,18.0,1816.0,263.0,1359.0,921.0,5.0
吉林,2022-12-01,203.0,1847.0,498.0,107.0,0.0,28.0,0.0,1260.0,0.0,644.0,2490.0,809.0,0.0,598.0,1432.0,767.0,704.0,152.0,37.0,30.0,116.0,107.0,0.0,0.0,0.0,2694.0,1247.0,2.0,1660.0,239.0,1192.0,840.0,12.0
吉林,2023-01-01,166.0,1958.0,417.0,114.0,0.0,62.0,0.0,1550.0,0.0,799.0,2525.0,943.0,0.0,734.0,1656.0,767.0,629.0,160.0,80.0,66.0,61.0,114.0,0.0,0.0,0.0,2885.0,1348.0,34.0,1663.0,252.0,1342.0,973.0,37.0
吉林,2023-02-01,200.0,1853.0,361.0,148.0,0.0,76.0,0.0,1251.0,0.0,772.0,2428.0,689.0,0.0,655.0,1393.0,650.0,677.0,185.0,41.0,73.0,67.0,148.0,0.0,0.0,0.0,2724.0,1129.0,36.0,1571.0,224.0,1351.0,714.0,29.0
吉林,2023-03-01,190.0,1909.0,408.0,97.0,0.0,66.0,0.0,1461.0,0.0,1009.0,2358.0,764.0,0.0,742.0,1472.0,729.0,699.0,168.0,43.0,68.0,113.0,97.0,0.0,0.0,0.0,2761.0,1337.0,33.0,1837.0,304.0,1068.0,887.0,35.0
吉林,2023-04-01,196.0,2034.0,521.0,31.0,0.0,67.0,0.0,1340.0,11.0,820.0,2667.0,691.0,0.0,580.0,1510.0,674.0,883.0,218.0,62.0,59.0,172.0,31.0,0.0,0.0,0.0,2938.0,1228.0,23.0,1897.0,304.0,1172.0,768.0,48.0
吉林,2023-05-01,181.0,1919.0,310.0,136.0,0.0,72.0,0.0,1255.0,0.0,847.0,2308.0,718.0,0.0,527.0,1410.0,657.0,714.0,162.0,88.0,54.0,125.0,136.0,0.0,0.0,0.0,2710.0,1149.0,14.0,1892.0,194.0,917.0,857.0,13.0
吉林,2023-06-01,277.0,2019.0,441.0,30.0,0.0,77.0,0.0,1401.0,0.0,639.0,2551.0,1055.0,0.0,709.0,1626.0,580.0,897.0,188.0,60.0,78.0,77.0,30.0,0.0,0.0,0.0,2841.0,1373.0,31.0,1872.0,209.0,1189.0,948.0,27.0
吉林,2023-07-01,196.0,1861.0,502.0,62.0,0.0,73.0,0.0,1002.0,0.0,790.0,2000.0,906.0,0.0,763.0,961.0,768.0,656.0,193.0,54.0,112.0,127.0,62.0,0.0,0.0,0.0,2378.0,1281.0,37.0,1548.0,300.0,1006.0,826.0,16.0
吉林,2023-08-01,183.0,2276.0,472.0,148.0,0.0,51.0,0.0,1217.0,0.0,911.0,2456.0,980.0,0.0,650.0,1586.0,761.0,834.0,127.0,60.0,81.0,100.0,148.0,0.0,0.0,0.0,2898.0,1433.0,16.0,1738.0,339.0,1291.0,975.0,4.0
吉林,2023-09-01,243.0,2172.0,458.0,33.0,0.0,56.0,0.0,1324.0,0.0,1228.0,2276.0,782.0,0.0,771.0,1423.0,718.0,851.0,172.0,83.0,84.0,151.0,33.0,0.0,0.0,0.0,2724.0,1528.0,34.0,1894.0,343.0,984.0,1028.0,37.0
吉林,2023-10-01,194.0,2331.0,366.0,142.0,0.0,63.0,0.0,1024.0,0.0,470.0,2470.0,1180.0,0.0,575.0,1263.0,760.0,997.0,119.0,73.0,84.0,107.0,142.0,0.0,0.0,0.0,2865.0,1216.0,39.0,1944.0,240.0,1069.0,830.0,37.0
吉林,2023-11-01,286.0,1588.0,409.0,111.0,0.0,46.0,0.0,1218.0,14.0,714.0,2117.0,813.0,0.0,541.0,1328.0,628.0,539.0,181.0,119.0,89.0,122.0,111.0,0.0,0.0,0.0,2434.0,1192.0,32.0,1599.0,165.0,1058.0,795.0,41.0
吉林,2023-12-01,184.0,2080.0,432.0,122.0,0.0,53.0,0.0,1370.0,15.0,832.0,2374.0,1020.0,0.0,740.0,1471.0,685.0,835.0,221.0,63.0,31.0,73.0,122.0,0.0,0.0,0.0,2804.0,1411.0,26.0,1955.0,325.0,1015.0,904.0,42.0
吉林,2024-01-01,131.0,1843.0,345.0,66.0,0.0,44.0,0.0,1182.0,15.0,456.0,2100.0,1040.0,0.0,493.0,1426.0,678.0,556.0,119.0,82.0,41.0,150.0,66.0,0.0,0.0,0.0,2468.0,1141.0,2.0,1570.0,201.0,992.0,832.0,16.0
