city,date,MPV,SUV,medium_car,med_large_car,large_car,small_car,micro_car,compact_car,roadster,EVER,PHEV,FUEL,EV,0-5w,5-10w,10-15w,15-20w,20-25w,25-30w,30-35w,35-40w,40-50w,50-100w,100-150w,150-300w,300-1000w,joint_type,self_owned_type,imported_type,joint_brand,state_owned_brand,international_brand,self_owned_brand,new_force_brand
丹东,2022-06-01,90.0,421.0,49.0,0.0,0.0,0.0,36.0,141.0,0.0,0.0,152.0,432.0,153.0,0.0,122.0,129.0,87.0,262.0,32.0,74.0,31.0,0.0,0.0,0.0,0.0,0.0,485.0,221.0,31.0,378.0,25.0,228.0,106.0,0.0
丹东,2022-07-01,52.0,309.0,39.0,0.0,0.0,0.0,17.0,200.0,0.0,0.0,123.0,336.0,158.0,0.0,67.0,237.0,73.0,155.0,39.0,31.0,15.0,0.0,0.0,0.0,0.0,0.0,401.0,201.0,15.0,287.0,33.0,172.0,125.0,0.0
丹东,2022-08-01,84.0,403.0,44.0,0.0,0.0,0.0,5.0,174.0,0.0,0.0,200.0,427.0,83.0,0.0,68.0,189.0,80.0,201.0,59.0,75.0,38.0,0.0,0.0,0.0,0.0,0.0,475.0,197.0,38.0,275.0,63.0,255.0,117.0,0.0
丹东,2022-09-01,83.0,359.0,36.0,0.0,0.0,0.0,2.0,210.0,0.0,0.0,56.0,370.0,264.0,0.0,58.0,252.0,73.0,145.0,62.0,89.0,11.0,0.0,0.0,0.0,0.0,0.0,489.0,190.0,11.0,363.0,51.0,179.0,97.0,0.0
丹东,2022-10-01,81.0,465.0,28.0,0.0,0.0,0.0,25.0,166.0,0.0,0.0,200.0,471.0,94.0,0.0,82.0,194.0,105.0,208.0,44.0,96.0,36.0,0.0,0.0,0.0,0.0,0.0,495.0,234.0,36.0,315.0,38.0,277.0,135.0,0.0
丹东,2022-11-01,108.0,450.0,65.0,0.0,0.0,0.0,14.0,170.0,0.0,0.0,150.0,497.0,160.0,0.0,123.0,212.0,74.0,224.0,54.0,105.0,15.0,0.0,0.0,0.0,0.0,0.0,524.0,268.0,15.0,333.0,63.0,285.0,126.0,0.0
丹东,2022-12-01,63.0,406.0,5.0,0.0,0.0,0.0,34.0,203.0,0.0,0.0,172.0,327.0,212.0,0.0,149.0,203.0,131.0,114.0,45.0,54.0,15.0,0.0,0.0,0.0,0.0,0.0,386.0,310.0,15.0,329.0,41.0,146.0,195.0,0.0
丹东,2023-01-01,66.0,470.0,35.0,0.0,0.0,0.0,26.0,233.0,0.0,0.0,209.0,469.0,152.0,0.0,102.0,220.0,143.0,178.0,93.0,76.0,18.0,0.0,0.0,0.0,0.0,0.0,542.0,270.0,18.0,315.0,59.0,292.0,164.0,0.0
丹东,2023-02-01,95.0,406.0,42.0,0.0,0.0,0.0,20.0,137.0,0.0,0.0,171.0,347.0,182.0,0.0,125.0,186.0,69.0,124.0,53.0,106.0,37.0,0.0,0.0,0.0,0.0,0.0,383.0,280.0,37.0,243.0,21.0,238.0,198.0,0.0
丹东,2023-03-01,88.0,486.0,34.0,0.0,0.0,0.0,22.0,156.0,0.0,0.0,158.0,414.0,214.0,0.0,98.0,221.0,88.0,224.0,102.0,48.0,5.0,0.0,0.0,0.0,0.0,0.0,501.0,280.0,5.0,385.0,63.0,192.0,146.0,0.0
