city,date,MPV,SUV,medium_car,med_large_car,small_car,micro_car,compact_car,EVER,PHEV,FUEL,EV,0-5w,5-10w,10-15w,15-20w,20-25w,25-30w,30-35w,35-40w,40-50w,50-100w,100-150w,150-300w,300-1000w,joint_type,self_owned_type,imported_type,joint_brand,state_owned_brand,international_brand,self_owned_brand,new_force_brand
海东,2022-06-01,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,15.0,0.0,15.0,42.0,23.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,87.0,0.0,23.0,70.0,0.0,17.0,0.0
海东,2022-07-01,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,21.0,0.0,20.0,33.0,16.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,74.0,0.0,16.0,37.0,0.0,37.0,0.0
海东,2022-08-01,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,44.0,0.0,6.0,37.0,27.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,50.0,0.0,27.0,21.0,0.0,29.0,0.0
海东,2022-09-01,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,71.0,0.0,9.0,41.0,24.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,78.0,0.0,24.0,47.0,0.0,31.0,0.0
海东,2022-10-01,0.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,61.0,0.0,39.0,59.0,26.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,109.0,0.0,26.0,46.0,0.0,63.0,0.0
海东,2022-11-01,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,66.0,0.0,18.0,57.0,3.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,102.0,0.0,3.0,45.0,0.0,57.0,0.0
海东,2022-12-01,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,37.0,25.0,28.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,65.0,0.0,28.0,10.0,0.0,55.0,0.0
海东,2023-01-01,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,17.0,0.0,16.0,30.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,55.0,0.0,9.0,38.0,0.0,17.0,0.0
海东,2023-02-01,0.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,44.0,0.0,36.0,40.0,28.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,114.0,0.0,28.0,72.0,0.0,42.0,0.0
海东,2023-03-01,0.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,21.0,0.0,39.0,34.0,32.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,94.0,0.0,32.0,50.0,0.0,44.0,0.0
海东,2023-04-01,0.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,103.0,0.0,34.0,61.0,19.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,118.0,0.0,19.0,53.0,0.0,65.0,0.0
海东,2023-05-01,0.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,32.0,0.0,38.0,45.0,11.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,115.0,0.0,11.0,60.0,0.0,55.0,0.0
海东,2023-06-01,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,93.0,0.0,13.0,64.0,15.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,106.0,0.0,15.0,69.0,0.0,37.0,0.0
海东,2023-07-01,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,30.0,0.0,15.0,34.0,19.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,83.0,0.0,19.0,38.0,0.0,45.0,0.0
海东,2023-08-01,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,17.0,0.0,7.0,28.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,37.0,0.0,20.0,19.0,0.0,18.0,0.0
海东,2023-09-01,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,13.0,0.0,8.0,8.0,20.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,50.0,0.0,20.0,37.0,0.0,13.0,0.0
海东,2023-10-01,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,59.0,0.0,20.0,48.0,11.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,95.0,0.0,11.0,51.0,0.0,44.0,0.0
海东,2023-11-01,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,48.0,0.0,9.0,38.0,17.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,86.0,0.0,17.0,47.0,0.0,39.0,0.0
海东,2023-12-01,0.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,105.0,0.0,35.0,70.0,18.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,145.0,0.0,18.0,75.0,0.0,70.0,0.0
海东,2024-01-01,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,46.0,0.0,1.0,26.0,20.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,59.0,0.0,20.0,38.0,0.0,21.0,0.0
海东,2024-02-01,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,24.0,0.0,19.0,26.0,36.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,69.0,0.0,36.0,45.0,0.0,24.0,0.0
海东,2024-03-01,0.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,47.0,0.0,36.0,42.0,32.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,113.0,0.0,32.0,50.0,0.0,63.0,0.0
海东,2024-04-01,0.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,97.0,0.0,29.0,68.0,24.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,130.0,0.0,24.0,68.0,0.0,62.0,0.0
海东,2024-05-01,0.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,30.0,0.0,38.0,41.0,39.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,106.0,0.0,39.0,38.0,0.0,68.0,0.0
