city,date,MPV,SUV,medium_car,med_large_car,large_car,small_car,micro_car,compact_car,EVER,PHEV,FUEL,EV,0-5w,5-10w,10-15w,15-20w,20-25w,25-30w,30-35w,35-40w,40-50w,50-100w,100-150w,150-300w,300-1000w,joint_type,self_owned_type,imported_type,joint_brand,state_owned_brand,international_brand,self_owned_brand,new_force_brand
咸阳,2022-06-01,210.0,2374.0,227.0,188.0,0.0,105.0,137.0,1191.0,15.0,1587.0,1121.0,1709.0,0.0,803.0,2107.0,712.0,277.0,319.0,48.0,77.0,54.0,35.0,0.0,0.0,0.0,1572.0,2860.0,0.0,1639.0,90.0,310.0,2326.0,67.0
咸阳,2022-07-01,163.0,1373.0,247.0,101.0,0.0,48.0,136.0,900.0,0.0,1011.0,987.0,970.0,0.0,579.0,1286.0,494.0,300.0,150.0,13.0,73.0,42.0,31.0,0.0,0.0,0.0,1311.0,1657.0,0.0,1288.0,145.0,263.0,1243.0,29.0
咸阳,2022-08-01,188.0,1997.0,361.0,179.0,0.0,82.0,161.0,1479.0,0.0,774.0,1212.0,2461.0,0.0,795.0,2128.0,723.0,373.0,247.0,11.0,89.0,38.0,43.0,0.0,0.0,0.0,1822.0,2625.0,0.0,1916.0,157.0,289.0,2034.0,51.0
咸阳,2022-09-01,208.0,2700.0,319.0,126.0,0.0,166.0,116.0,1528.0,0.0,1889.0,1275.0,1999.0,0.0,962.0,2562.0,764.0,459.0,222.0,16.0,114.0,49.0,15.0,0.0,0.0,0.0,1971.0,3192.0,0.0,2085.0,166.0,278.0,2609.0,25.0
咸阳,2022-10-01,300.0,2707.0,375.0,155.0,0.0,96.0,173.0,1399.0,14.0,2686.0,1405.0,1100.0,0.0,992.0,2433.0,802.0,428.0,335.0,32.0,77.0,98.0,8.0,0.0,0.0,0.0,2091.0,3114.0,0.0,2291.0,152.0,294.0,2418.0,50.0
咸阳,2022-11-01,266.0,2531.0,241.0,140.0,0.0,78.0,134.0,1341.0,0.0,1576.0,1276.0,1879.0,0.0,843.0,2406.0,694.0,429.0,170.0,3.0,68.0,68.0,50.0,0.0,0.0,0.0,1826.0,2905.0,0.0,1990.0,195.0,299.0,2229.0,18.0
咸阳,2022-12-01,278.0,2309.0,380.0,150.0,0.0,52.0,97.0,1374.0,19.0,1403.0,1435.0,1783.0,0.0,874.0,2053.0,754.0,464.0,262.0,28.0,58.0,72.0,75.0,0.0,0.0,0.0,2035.0,2605.0,0.0,2234.0,170.0,232.0,1942.0,62.0
咸阳,2023-01-01,156.0,1811.0,292.0,94.0,0.0,93.0,149.0,1524.0,0.0,1840.0,1144.0,1135.0,0.0,751.0,2140.0,574.0,352.0,139.0,13.0,77.0,42.0,31.0,0.0,0.0,0.0,1806.0,2313.0,0.0,1880.0,134.0,254.0,1809.0,42.0
咸阳,2023-02-01,252.0,2286.0,246.0,222.0,0.0,126.0,98.0,1339.0,0.0,1721.0,1269.0,1579.0,0.0,821.0,2205.0,742.0,370.0,274.0,2.0,47.0,55.0,53.0,0.0,0.0,0.0,1808.0,2761.0,0.0,1870.0,153.0,315.0,2170.0,61.0
咸阳,2023-03-01,258.0,2030.0,328.0,184.0,0.0,79.0,96.0,1450.0,14.0,1606.0,1314.0,1491.0,0.0,830.0,1998.0,685.0,415.0,327.0,31.0,31.0,55.0,53.0,0.0,0.0,0.0,1883.0,2542.0,0.0,2011.0,182.0,241.0,1948.0,43.0
