city,date,MPV,SUV,medium_car,med_large_car,large_car,small_car,micro_car,compact_car,EVER,PHEV,FUEL,EV,0-5w,5-10w,10-15w,15-20w,20-25w,25-30w,30-35w,35-40w,40-50w,50-100w,100-150w,150-300w,300-1000w,joint_type,self_owned_type,imported_type,joint_brand,state_owned_brand,international_brand,self_owned_brand,new_force_brand
东营,2022-06-01,329.0,1642.0,843.0,211.0,0.0,126.0,218.0,1139.0,0.0,897.0,2810.0,801.0,0.0,448.0,1336.0,598.0,1068.0,231.0,235.0,308.0,126.0,158.0,0.0,0.0,0.0,3470.0,998.0,40.0,2443.0,68.0,1289.0,639.0,69.0
东营,2022-07-01,181.0,1335.0,489.0,150.0,0.0,86.0,136.0,831.0,0.0,463.0,1797.0,948.0,0.0,284.0,916.0,532.0,650.0,232.0,189.0,173.0,132.0,100.0,0.0,0.0,0.0,2428.0,754.0,26.0,1736.0,62.0,812.0,545.0,53.0
东营,2022-08-01,330.0,2070.0,713.0,244.0,0.0,77.0,166.0,1387.0,0.0,1315.0,2892.0,780.0,0.0,409.0,1711.0,787.0,927.0,241.0,225.0,325.0,176.0,186.0,0.0,0.0,0.0,3820.0,1131.0,36.0,2658.0,121.0,1403.0,723.0,82.0
东营,2022-09-01,354.0,2091.0,773.0,183.0,0.0,80.0,224.0,1398.0,0.0,1470.0,2875.0,758.0,0.0,495.0,1442.0,956.0,998.0,322.0,255.0,326.0,168.0,141.0,0.0,0.0,0.0,3861.0,1218.0,24.0,2774.0,130.0,1342.0,800.0,57.0
东营,2022-10-01,262.0,1789.0,764.0,159.0,0.0,90.0,166.0,1557.0,0.0,1044.0,2827.0,916.0,0.0,378.0,1611.0,671.0,1005.0,270.0,284.0,245.0,196.0,127.0,0.0,0.0,0.0,3893.0,874.0,20.0,2826.0,144.0,1198.0,565.0,54.0
东营,2022-11-01,273.0,1840.0,780.0,116.0,0.0,69.0,169.0,1162.0,0.0,707.0,2792.0,910.0,0.0,418.0,1180.0,822.0,1021.0,276.0,202.0,239.0,186.0,65.0,0.0,0.0,0.0,3443.0,939.0,27.0,2418.0,69.0,1254.0,616.0,52.0
东营,2022-12-01,259.0,2001.0,817.0,163.0,0.0,118.0,177.0,1880.0,0.0,1107.0,3203.0,1105.0,0.0,423.0,1945.0,827.0,1097.0,332.0,161.0,274.0,240.0,116.0,0.0,0.0,0.0,4444.0,948.0,23.0,3286.0,100.0,1392.0,606.0,31.0
东营,2023-01-01,291.0,1720.0,741.0,150.0,0.0,106.0,131.0,1597.0,0.0,1047.0,2669.0,1020.0,0.0,429.0,1788.0,704.0,858.0,248.0,240.0,147.0,181.0,141.0,0.0,0.0,0.0,3726.0,1003.0,7.0,2730.0,116.0,1204.0,607.0,79.0
东营,2023-02-01,240.0,2025.0,814.0,119.0,0.0,89.0,132.0,1478.0,0.0,582.0,2973.0,1342.0,0.0,302.0,1634.0,848.0,1036.0,191.0,263.0,272.0,250.0,101.0,0.0,0.0,0.0,3962.0,902.0,33.0,2638.0,127.0,1457.0,607.0,68.0
东营,2023-03-01,166.0,1916.0,786.0,232.0,0.0,55.0,148.0,1432.0,0.0,857.0,3109.0,769.0,0.0,322.0,1561.0,662.0,1128.0,261.0,214.0,232.0,169.0,186.0,0.0,0.0,0.0,3771.0,943.0,21.0,2606.0,128.0,1288.0,693.0,20.0
