city,date,MPV,SUV,medium_car,med_large_car,large_car,small_car,micro_car,compact_car,roadster,EVER,PHEV,FUEL,EV,0-5w,5-10w,10-15w,15-20w,20-25w,25-30w,30-35w,35-40w,40-50w,50-100w,100-150w,150-300w,300-1000w,joint_type,self_owned_type,imported_type,joint_brand,state_owned_brand,international_brand,self_owned_brand,new_force_brand
上海,2022-06-01,4787.0,45380.0,11770.0,6466.0,891.0,2028.0,256.0,17527.0,549.0,1685.0,19302.0,34739.0,33928.0,49.0,2800.0,12110.0,20156.0,13630.0,7007.0,9500.0,9395.0,7875.0,4749.0,1447.0,874.0,62.0,48883.0,32810.0,7961.0,27201.0,7466.0,28264.0,16225.0,10498.0
上海,2022-07-01,3523.0,32718.0,9301.0,4944.0,563.0,1257.0,114.0,13247.0,297.0,973.0,18243.0,26088.0,20660.0,46.0,1685.0,9297.0,14629.0,9638.0,4706.0,6258.0,8131.0,6205.0,3704.0,682.0,900.0,83.0,36865.0,23177.0,5922.0,19788.0,4957.0,21517.0,12085.0,7617.0
上海,2022-08-01,4963.0,40805.0,12656.0,5748.0,759.0,1917.0,39.0,18169.0,503.0,1540.0,20648.0,33907.0,29464.0,58.0,2304.0,13110.0,19086.0,11691.0,5705.0,9254.0,9024.0,8002.0,4890.0,1084.0,1294.0,57.0,47055.0,29774.0,8730.0,26078.0,6428.0,28331.0,14875.0,9847.0
上海,2022-09-01,4014.0,46025.0,12322.0,6116.0,812.0,1458.0,258.0,16854.0,669.0,2244.0,22576.0,34492.0,29216.0,124.0,2626.0,12557.0,18554.0,13627.0,6670.0,9368.0,8753.0,9124.0,4586.0,1328.0,1121.0,90.0,48419.0,31739.0,8370.0,27114.0,6997.0,28625.0,15778.0,10014.0
上海,2022-10-01,5374.0,45623.0,13560.0,6028.0,1128.0,1855.0,139.0,16402.0,565.0,2606.0,22225.0,34837.0,31006.0,43.0,2562.0,12683.0,18836.0,13380.0,6623.0,9505.0,9377.0,9061.0,6052.0,1303.0,1193.0,56.0,48841.0,32423.0,9410.0,27408.0,6638.0,29654.0,15527.0,11447.0
上海,2022-11-01,4870.0,44299.0,12653.0,6295.0,959.0,1543.0,248.0,18141.0,561.0,3860.0,22119.0,33311.0,30279.0,65.0,2619.0,12430.0,19768.0,11887.0,6470.0,9067.0,10381.0,9145.0,5143.0,1122.0,1367.0,105.0,47615.0,33507.0,8447.0,26728.0,6842.0,28242.0,15015.0,12742.0
上海,2022-12-01,4811.0,46547.0,12426.0,5839.0,824.0,1843.0,151.0,18550.0,618.0,5417.0,23777.0,34546.0,27869.0,108.0,2444.0,13076.0,19305.0,12440.0,6546.0,9190.0,10850.0,10602.0,4789.0,879.0,1327.0,53.0,47754.0,35340.0,8515.0,25596.0,6177.0,29433.0,15870.0,14533.0
上海,2023-01-01,4409.0,42944.0,13100.0,6460.0,1230.0,1605.0,56.0,16611.0,536.0,733.0,20491.0,35300.0,30427.0,78.0,1904.0,11828.0,18799.0,13779.0,6743.0,8321.0,9172.0,8298.0,5285.0,1403.0,1232.0,109.0,48944.0,28687.0,9320.0,26808.0,6082.0,29751.0,14759.0,9551.0
上海,2023-02-01,4917.0,44633.0,11943.0,6216.0,943.0,1696.0,121.0,16888.0,459.0,1305.0,18001.0,33991.0,34519.0,142.0,2494.0,12689.0,18653.0,12429.0,6058.0,9491.0,10016.0,8367.0,4832.0,1200.0,1366.0,79.0,47721.0,31794.0,8301.0,26720.0,6752.0,27881.0,16311.0,10152.0
上海,2023-03-01,4109.0,45947.0,11935.0,6455.0,1159.0,1942.0,46.0,17793.0,632.0,2511.0,26029.0,35004.0,26474.0,121.0,2221.0,13230.0,19124.0,12087.0,6586.0,9556.0,9960.0,9046.0,5241.0,1217.0,1576.0,53.0,48127.0,32593.0,9298.0,25435.0,6567.0,30396.0,16384.0,11236.0
上海,2023-04-01,4896.0,46454.0,12468.0,6398.0,1033.0,1306.0,304.0,17280.0,442.0,1823.0,24857.0,35377.0,28524.0,95.0,2583.0,12218.0,20136.0,12788.0,6522.0,8904.0,10273.0,9047.0,5301.0,1117.0,1476.0,121.0,49314.0,32648.0,8619.0,27846.0,7019.0,28867.0,16153.0,10696.0
上海,2023-05-01,4890.0,44553.0,12045.0,5984.0,544.0,1895.0,300.0,17231.0,502.0,1908.0,23784.0,34491.0,27761.0,54.0,2891.0,11720.0,18706.0,13485.0,6446.0,9074.0,9551.0,7788.0,5844.0,886.0,1394.0,105.0,47150.0,31782.0,9012.0,25205.0,6574.0,29732.0,15499.0,10934.0
上海,2023-06-01,4710.0,43995.0,11604.0,6286.0,1034.0,1503.0,116.0,18067.0,589.0,1997.0,19172.0,33897.0,32838.0,78.0,2140.0,12860.0,18690.0,12629.0,6420.0,9348.0,9999.0,8115.0,4925.0,1234.0,1363.0,103.0,47468.0,32052.0,8384.0,25555.0,6884.0,28891.0,16342.0,10232.0
上海,2023-07-01,4957.0,43131.0,12923.0,6080.0,627.0,2187.0,156.0,17156.0,646.0,1579.0,21246.0,33316.0,31722.0,75.0,2716.0,12798.0,20404.0,11800.0,5917.0,8184.0,9990.0,8258.0,5506.0,1245.0,912.0,58.0,47053.0,31881.0,8929.0,25844.0,6556.0,28958.0,16650.0,9855.0
上海,2023-08-01,5431.0,42389.0,12604.0,6314.0,1038.0,1447.0,271.0,17698.0,678.0,2046.0,20430.0,35306.0,30088.0,115.0,2989.0,12347.0,18729.0,12788.0,6020.0,9371.0,9848.0,8127.0,4984.0,1401.0,1089.0,62.0,48393.0,30725.0,8752.0,27375.0,6159.0,28887.0,14655.0,10794.0
上海,2023-09-01,5857.0,45510.0,11211.0,6219.0,1066.0,1866.0,349.0,16012.0,431.0,1659.0,19714.0,33932.0,33216.0,137.0,2526.0,12405.0,18639.0,12938.0,7208.0,8162.0,9703.0,8835.0,5370.0,1137.0,1335.0,126.0,47602.0,32086.0,8833.0,26388.0,6712.0,29129.0,16239.0,10053.0
上海,2023-10-01,5496.0,43844.0,12026.0,5650.0,832.0,2251.0,341.0,16797.0,754.0,1959.0,23985.0,33635.0,28412.0,88.0,2839.0,12131.0,18952.0,13386.0,6593.0,8506.0,9193.0,8547.0,5083.0,1139.0,1447.0,87.0,45954.0,32156.0,9881.0,26240.0,6707.0,28663.0,15753.0,10628.0
上海,2023-11-01,5781.0,45914.0,13318.0,6612.0,623.0,1980.0,88.0,18165.0,394.0,2872.0,24317.0,35722.0,29964.0,115.0,2864.0,13712.0,20115.0,12500.0,6478.0,9670.0,10910.0,8711.0,5792.0,966.0,1013.0,29.0,49957.0,33952.0,8966.0,28544.0,7385.0,28977.0,15976.0,11993.0
上海,2023-12-01,4788.0,46394.0,12612.0,6967.0,839.0,2077.0,126.0,17814.0,232.0,3446.0,24330.0,35956.0,28117.0,109.0,2680.0,12877.0,19755.0,13159.0,7470.0,9515.0,10607.0,8170.0,5312.0,816.0,1312.0,67.0,50386.0,33404.0,8059.0,28276.0,7015.0,28691.0,16175.0,11692.0
