city,date,MPV,SUV,medium_car,med_large_car,large_car,small_car,micro_car,compact_car,EVER,PHEV,FUEL,EV,0-5w,5-10w,10-15w,15-20w,20-25w,25-30w,30-35w,35-40w,40-50w,50-100w,100-150w,150-300w,300-1000w,joint_type,self_owned_type,imported_type,joint_brand,state_owned_brand,international_brand,self_owned_brand,new_force_brand
临汾,2022-06-01,346.0,1716.0,166.0,98.0,0.0,123.0,350.0,1124.0,0.0,1273.0,1768.0,882.0,0.0,816.0,1289.0,722.0,662.0,116.0,115.0,123.0,29.0,51.0,0.0,0.0,0.0,2212.0,1701.0,10.0,2110.0,70.0,556.0,1148.0,39.0
临汾,2022-07-01,156.0,1067.0,173.0,63.0,0.0,111.0,150.0,926.0,0.0,782.0,1244.0,620.0,0.0,444.0,1126.0,485.0,372.0,65.0,42.0,53.0,25.0,34.0,0.0,0.0,0.0,1564.0,1066.0,16.0,1438.0,43.0,346.0,806.0,13.0
临汾,2022-08-01,198.0,2136.0,298.0,101.0,0.0,159.0,60.0,1747.0,0.0,1165.0,2405.0,1129.0,0.0,521.0,1938.0,1011.0,751.0,137.0,158.0,78.0,39.0,66.0,0.0,0.0,0.0,3110.0,1578.0,11.0,2676.0,106.0,560.0,1341.0,16.0
临汾,2022-09-01,271.0,1706.0,187.0,65.0,0.0,197.0,184.0,1665.0,0.0,1271.0,1972.0,1032.0,0.0,594.0,2049.0,680.0,533.0,91.0,154.0,94.0,46.0,34.0,0.0,0.0,0.0,2693.0,1566.0,16.0,2431.0,78.0,505.0,1257.0,4.0
临汾,2022-10-01,290.0,1860.0,296.0,89.0,0.0,169.0,234.0,1624.0,0.0,1333.0,2292.0,937.0,0.0,647.0,2005.0,801.0,702.0,82.0,112.0,97.0,62.0,54.0,0.0,0.0,0.0,2869.0,1680.0,13.0,2500.0,71.0,690.0,1264.0,37.0
临汾,2022-11-01,247.0,1760.0,285.0,88.0,0.0,130.0,133.0,1024.0,0.0,875.0,1747.0,1045.0,0.0,582.0,1419.0,691.0,635.0,79.0,122.0,44.0,58.0,37.0,0.0,0.0,0.0,2062.0,1594.0,11.0,1858.0,51.0,447.0,1273.0,38.0
临汾,2022-12-01,278.0,1568.0,237.0,92.0,0.0,170.0,432.0,1581.0,0.0,1241.0,1920.0,1197.0,0.0,956.0,1856.0,701.0,524.0,103.0,83.0,64.0,41.0,30.0,0.0,0.0,0.0,2486.0,1863.0,9.0,2528.0,80.0,467.0,1254.0,29.0
临汾,2023-01-01,281.0,1601.0,257.0,115.0,0.0,186.0,94.0,1810.0,0.0,1026.0,2259.0,1059.0,0.0,587.0,2046.0,605.0,572.0,79.0,175.0,170.0,40.0,70.0,0.0,0.0,0.0,2899.0,1414.0,31.0,2327.0,59.0,712.0,1230.0,16.0
临汾,2023-02-01,197.0,1647.0,281.0,100.0,0.0,208.0,400.0,1398.0,0.0,809.0,2059.0,1363.0,0.0,804.0,1695.0,668.0,653.0,121.0,115.0,70.0,72.0,33.0,0.0,0.0,0.0,2541.0,1664.0,26.0,2511.0,58.0,513.0,1133.0,16.0
临汾,2023-03-01,281.0,1738.0,244.0,85.0,0.0,141.0,196.0,1187.0,0.0,1309.0,1867.0,696.0,0.0,762.0,1454.0,629.0,646.0,86.0,128.0,87.0,42.0,38.0,0.0,0.0,0.0,2232.0,1610.0,30.0,2037.0,56.0,537.0,1230.0,12.0
临汾,2023-04-01,271.0,1691.0,258.0,84.0,0.0,195.0,275.0,1673.0,0.0,1229.0,2063.0,1155.0,0.0,714.0,2043.0,689.0,603.0,111.0,84.0,99.0,72.0,32.0,0.0,0.0,0.0,2626.0,1809.0,12.0,2362.0,101.0,633.0,1348.0,3.0
临汾,2023-05-01,272.0,1628.0,333.0,106.0,0.0,217.0,72.0,1598.0,0.0,1457.0,2149.0,620.0,0.0,563.0,1799.0,695.0,812.0,93.0,45.0,109.0,55.0,55.0,0.0,0.0,0.0,2885.0,1327.0,14.0,2434.0,86.0,616.0,1081.0,9.0
临汾,2023-06-01,278.0,1664.0,248.0,90.0,0.0,133.0,288.0,1682.0,0.0,962.0,2031.0,1390.0,0.0,818.0,1968.0,614.0,622.0,63.0,104.0,83.0,55.0,56.0,0.0,0.0,0.0,2490.0,1857.0,36.0,2217.0,39.0,717.0,1377.0,33.0
临汾,2023-07-01,213.0,1711.0,247.0,118.0,0.0,202.0,153.0,1552.0,0.0,983.0,1982.0,1231.0,0.0,576.0,1844.0,721.0,693.0,89.0,114.0,46.0,68.0,45.0,0.0,0.0,0.0,2561.0,1634.0,1.0,2154.0,72.0,650.0,1300.0,20.0
临汾,2023-08-01,299.0,1844.0,325.0,74.0,0.0,202.0,295.0,1297.0,0.0,1171.0,1958.0,1207.0,0.0,808.0,1733.0,778.0,747.0,51.0,72.0,72.0,35.0,40.0,0.0,0.0,0.0,2574.0,1758.0,4.0,2457.0,53.0,560.0,1259.0,7.0
临汾,2023-09-01,230.0,2032.0,327.0,93.0,0.0,202.0,347.0,1301.0,12.0,1266.0,2280.0,974.0,0.0,684.0,1790.0,774.0,824.0,63.0,160.0,156.0,54.0,27.0,0.0,0.0,0.0,2782.0,1723.0,27.0,2494.0,45.0,665.0,1295.0,33.0
临汾,2023-10-01,193.0,1590.0,161.0,30.0,0.0,122.0,328.0,1746.0,33.0,991.0,1933.0,1213.0,0.0,829.0,1747.0,764.0,511.0,75.0,121.0,72.0,30.0,21.0,0.0,0.0,0.0,2552.0,1617.0,1.0,2363.0,65.0,554.0,1134.0,54.0
临汾,2023-11-01,182.0,1822.0,291.0,79.0,0.0,134.0,337.0,1642.0,29.0,1034.0,2171.0,1253.0,0.0,701.0,1960.0,645.0,732.0,88.0,166.0,88.0,59.0,48.0,0.0,0.0,0.0,2667.0,1785.0,35.0,2375.0,91.0,669.0,1292.0,60.0
临汾,2023-12-01,233.0,1650.0,300.0,66.0,0.0,165.0,205.0,1519.0,49.0,1188.0,2069.0,832.0,0.0,714.0,1803.0,627.0,687.0,69.0,109.0,59.0,29.0,41.0,0.0,0.0,0.0,2534.0,1599.0,5.0,2258.0,32.0,568.0,1212.0,68.0
临汾,2024-01-01,278.0,2048.0,285.0,100.0,0.0,138.0,195.0,1613.0,74.0,1132.0,2215.0,1236.0,0.0,604.0,1973.0,901.0,655.0,67.0,208.0,162.0,49.0,38.0,0.0,0.0,0.0,2943.0,1677.0,37.0,2559.0,43.0,648.0,1309.0,98.0
临汾,2024-02-01,332.0,1932.0,262.0,101.0,0.0,213.0,416.0,1478.0,51.0,1339.0,2382.0,962.0,0.0,994.0,1619.0,990.0,730.0,86.0,87.0,126.0,73.0,29.0,0.0,0.0,0.0,2693.0,2007.0,34.0,2633.0,56.0,660.0,1328.0,57.0
