city,date,MPV,SUV,medium_car,med_large_car,large_car,small_car,micro_car,compact_car,roadster,EVER,PHEV,FUEL,EV,0-5w,5-10w,10-15w,15-20w,20-25w,25-30w,30-35w,35-40w,40-50w,50-100w,100-150w,150-300w,300-1000w,joint_type,self_owned_type,imported_type,joint_brand,state_owned_brand,international_brand,self_owned_brand,new_force_brand
天津,2022-06-01,3431.0,17912.0,5863.0,2565.0,290.0,1653.0,1769.0,10851.0,35.0,507.0,7817.0,19902.0,16143.0,40.0,4824.0,11476.0,7123.0,8135.0,2321.0,2172.0,2956.0,1807.0,2153.0,880.0,436.0,46.0,24129.0,16801.0,3439.0,16499.0,2056.0,12050.0,10460.0,3304.0
天津,2022-07-01,2332.0,11870.0,4470.0,1554.0,166.0,998.0,1139.0,8457.0,30.0,271.0,7234.0,13727.0,9784.0,37.0,2904.0,9097.0,4625.0,6093.0,1676.0,1291.0,2117.0,1394.0,1071.0,386.0,291.0,34.0,18735.0,10551.0,1730.0,12809.0,1285.0,8221.0,6644.0,2057.0
天津,2022-08-01,2935.0,16796.0,6661.0,2465.0,237.0,1522.0,1687.0,11283.0,55.0,671.0,10993.0,19614.0,12363.0,27.0,4556.0,11821.0,5906.0,8530.0,2377.0,2572.0,2545.0,2252.0,2020.0,582.0,381.0,72.0,25787.0,15218.0,2636.0,16923.0,1737.0,12504.0,8850.0,3627.0
天津,2022-09-01,3062.0,18080.0,6231.0,2205.0,275.0,1335.0,1390.0,10756.0,34.0,470.0,11264.0,20212.0,11422.0,60.0,3868.0,11283.0,6594.0,8459.0,2673.0,2215.0,2958.0,2375.0,1713.0,450.0,694.0,26.0,26247.0,14583.0,2538.0,17450.0,1781.0,11952.0,8846.0,3339.0
天津,2022-10-01,3018.0,17923.0,5420.0,3032.0,226.0,1189.0,1824.0,10198.0,36.0,519.0,12850.0,18571.0,10926.0,11.0,4176.0,11890.0,5811.0,7920.0,2458.0,1887.0,2948.0,2731.0,1633.0,835.0,527.0,39.0,23756.0,15947.0,3163.0,16260.0,1653.0,11449.0,10037.0,3467.0
天津,2022-11-01,3777.0,17995.0,5780.0,1910.0,267.0,1573.0,1930.0,10854.0,39.0,729.0,10554.0,19109.0,13733.0,49.0,4500.0,11650.0,6871.0,7930.0,2488.0,2710.0,3001.0,2165.0,1746.0,435.0,526.0,54.0,24698.0,16711.0,2716.0,17083.0,1597.0,11331.0,10121.0,3993.0
天津,2022-12-01,2916.0,18625.0,6447.0,2674.0,203.0,1296.0,1844.0,10691.0,32.0,857.0,10138.0,20332.0,13401.0,53.0,4036.0,12441.0,6140.0,8981.0,2145.0,2329.0,3442.0,2188.0,1858.0,497.0,570.0,48.0,25456.0,16673.0,2599.0,16308.0,1778.0,12600.0,10284.0,3758.0
天津,2023-01-01,3119.0,18513.0,6449.0,1954.0,345.0,1334.0,1329.0,10786.0,67.0,568.0,10686.0,20535.0,12107.0,62.0,3874.0,11409.0,7070.0,8043.0,2617.0,2194.0,2926.0,2548.0,1833.0,700.0,548.0,72.0,26756.0,14423.0,2717.0,17533.0,1755.0,12655.0,8434.0,3519.0
天津,2023-02-01,2934.0,17097.0,5730.0,2174.0,301.0,1557.0,1596.0,10294.0,16.0,611.0,13436.0,19338.0,8314.0,62.0,4003.0,11233.0,6633.0,7244.0,2611.0,2244.0,2353.0,2251.0,1732.0,731.0,549.0,53.0,23620.0,15420.0,2659.0,15324.0,1738.0,11755.0,9222.0,3660.0
天津,2023-03-01,3537.0,18349.0,5587.0,2619.0,273.0,1590.0,1706.0,10066.0,47.0,593.0,11489.0,19574.0,12118.0,37.0,4815.0,12094.0,5731.0,8486.0,1926.0,2033.0,2824.0,2709.0,2056.0,548.0,477.0,38.0,24892.0,16005.0,2877.0,16365.0,1631.0,12565.0,9944.0,3269.0
天津,2023-04-01,3365.0,18478.0,6366.0,2444.0,229.0,1093.0,1297.0,11199.0,17.0,1009.0,9588.0,19961.0,13930.0,65.0,4058.0,11370.0,6952.0,8144.0,2349.0,2245.0,3482.0,2521.0,1876.0,907.0,481.0,38.0,25815.0,15967.0,2706.0,17441.0,1992.0,12348.0,8917.0,3790.0
天津,2023-05-01,2864.0,18325.0,5587.0,2432.0,304.0,1174.0,1660.0,11199.0,50.0,1133.0,10013.0,18890.0,13559.0,50.0,4395.0,11677.0,6921.0,7453.0,2569.0,2349.0,2887.0,2367.0,1506.0,825.0,553.0,43.0,25048.0,15950.0,2597.0,17026.0,1828.0,11373.0,9171.0,4197.0
天津,2023-06-01,2999.0,18079.0,6037.0,3056.0,247.0,1416.0,1359.0,10914.0,41.0,1325.0,12555.0,19336.0,10932.0,26.0,3628.0,12285.0,6410.0,7783.0,2743.0,2035.0,3401.0,2563.0,1929.0,765.0,554.0,26.0,25120.0,16197.0,2831.0,16307.0,1937.0,12462.0,9483.0,3959.0
天津,2023-07-01,2898.0,17821.0,5866.0,2470.0,324.0,1055.0,1802.0,11029.0,62.0,1369.0,9399.0,19049.0,13510.0,41.0,4075.0,12309.0,6286.0,7816.0,2386.0,2030.0,3399.0,2285.0,1368.0,831.0,446.0,55.0,24344.0,16283.0,2700.0,16026.0,1815.0,11909.0,8869.0,4708.0
天津,2023-08-01,3450.0,17866.0,6408.0,2436.0,313.0,1433.0,1213.0,11367.0,56.0,1682.0,11790.0,18850.0,12220.0,45.0,3637.0,12689.0,6719.0,8194.0,2719.0,2085.0,3517.0,1920.0,1778.0,685.0,540.0,14.0,24496.0,17044.0,3002.0,16832.0,1682.0,11497.0,9988.0,4543.0
天津,2023-09-01,3536.0,18757.0,6357.0,2320.0,251.0,1693.0,1710.0,10074.0,31.0,1677.0,10576.0,20417.0,12059.0,45.0,4309.0,10776.0,6677.0,8148.0,2611.0,2393.0,3715.0,2819.0,1967.0,772.0,454.0,43.0,25966.0,15808.0,2955.0,17411.0,2024.0,12372.0,8220.0,4702.0
