city,date,MPV,SUV,medium_car,compact_car,EVER,PHEV,FUEL,EV,0-5w,5-10w,10-15w,15-20w,20-25w,25-30w,30-35w,35-40w,40-50w,50-100w,100-150w,150-300w,300-1000w,joint_type,self_owned_type,joint_brand,state_owned_brand,international_brand,self_owned_brand,new_force_brand
拉萨,2022-06-01,34.0,2613.0,68.0,383.0,19.0,1083.0,1354.0,642.0,0.0,341.0,1280.0,328.0,451.0,196.0,214.0,89.0,199.0,0.0,0.0,0.0,0.0,1531.0,1567.0,779.0,506.0,786.0,1008.0,19.0
拉萨,2022-07-01,14.0,1610.0,29.0,200.0,0.0,631.0,830.0,392.0,0.0,192.0,797.0,205.0,223.0,136.0,116.0,62.0,122.0,0.0,0.0,0.0,0.0,965.0,888.0,501.0,255.0,478.0,619.0,0.0
拉萨,2022-08-01,11.0,2265.0,25.0,297.0,0.0,881.0,1237.0,480.0,0.0,281.0,1141.0,301.0,254.0,125.0,249.0,55.0,192.0,0.0,0.0,0.0,0.0,1378.0,1220.0,515.0,354.0,874.0,855.0,0.0
拉萨,2022-09-01,23.0,2626.0,27.0,361.0,0.0,936.0,1493.0,608.0,0.0,348.0,1322.0,279.0,385.0,191.0,253.0,80.0,179.0,0.0,0.0,0.0,0.0,1569.0,1468.0,686.0,504.0,906.0,941.0,0.0
拉萨,2022-10-01,5.0,2656.0,66.0,297.0,0.0,1092.0,1434.0,498.0,0.0,247.0,1331.0,288.0,386.0,200.0,205.0,76.0,291.0,0.0,0.0,0.0,0.0,1618.0,1406.0,632.0,473.0,991.0,928.0,0.0
拉萨,2022-11-01,33.0,2274.0,42.0,298.0,0.0,851.0,1334.0,462.0,0.0,236.0,1291.0,298.0,287.0,211.0,129.0,43.0,152.0,0.0,0.0,0.0,0.0,1389.0,1258.0,647.0,476.0,775.0,749.0,0.0
拉萨,2022-12-01,14.0,2479.0,10.0,298.0,0.0,716.0,1247.0,838.0,0.0,257.0,1217.0,358.0,280.0,180.0,162.0,97.0,250.0,0.0,0.0,0.0,0.0,1417.0,1384.0,611.0,465.0,820.0,905.0,0.0
拉萨,2023-01-01,17.0,2764.0,18.0,334.0,11.0,667.0,1540.0,915.0,0.0,247.0,1447.0,316.0,295.0,260.0,249.0,59.0,260.0,0.0,0.0,0.0,0.0,1857.0,1276.0,760.0,411.0,1114.0,837.0,11.0
拉萨,2023-02-01,12.0,2392.0,36.0,431.0,13.0,691.0,1447.0,720.0,0.0,200.0,1301.0,248.0,355.0,209.0,282.0,78.0,198.0,0.0,0.0,0.0,0.0,1607.0,1264.0,748.0,417.0,871.0,822.0,13.0
拉萨,2023-03-01,10.0,2708.0,53.0,338.0,0.0,1098.0,1419.0,592.0,0.0,214.0,1457.0,265.0,482.0,174.0,191.0,93.0,233.0,0.0,0.0,0.0,0.0,1661.0,1448.0,682.0,528.0,989.0,910.0,0.0
拉萨,2023-04-01,16.0,2467.0,51.0,371.0,0.0,935.0,1191.0,779.0,0.0,230.0,1333.0,352.0,317.0,275.0,142.0,66.0,190.0,0.0,0.0,0.0,0.0,1554.0,1351.0,762.0,402.0,808.0,933.0,0.0
拉萨,2023-05-01,2.0,2742.0,31.0,324.0,62.0,950.0,1520.0,567.0,0.0,259.0,1434.0,337.0,326.0,205.0,142.0,144.0,252.0,0.0,0.0,0.0,0.0,1714.0,1385.0,671.0,382.0,1045.0,939.0,62.0
