city,date,MPV,SUV,medium_car,med_large_car,large_car,small_car,micro_car,compact_car,EVER,PHEV,FUEL,EV,0-5w,5-10w,10-15w,15-20w,20-25w,25-30w,30-35w,35-40w,40-50w,50-100w,100-150w,150-300w,300-1000w,joint_type,self_owned_type,imported_type,joint_brand,state_owned_brand,international_brand,self_owned_brand,new_force_brand
临沧,2022-06-01,37.0,409.0,7.0,0.0,0.0,0.0,101.0,311.0,0.0,399.0,289.0,177.0,0.0,241.0,231.0,295.0,87.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.0,530.0,0.0,445.0,46.0,54.0,320.0,0.0
临沧,2022-07-01,15.0,359.0,11.0,0.0,0.0,0.0,89.0,161.0,0.0,189.0,217.0,229.0,0.0,199.0,207.0,166.0,51.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.0,400.0,0.0,314.0,39.0,60.0,222.0,0.0
临沧,2022-08-01,29.0,397.0,5.0,0.0,0.0,0.0,119.0,311.0,0.0,197.0,263.0,401.0,0.0,254.0,266.0,267.0,35.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.0,558.0,0.0,382.0,28.0,77.0,374.0,0.0
临沧,2022-09-01,32.0,470.0,17.0,0.0,0.0,0.0,163.0,266.0,0.0,405.0,344.0,199.0,0.0,289.0,245.0,304.0,81.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387.0,561.0,0.0,499.0,47.0,102.0,300.0,0.0
临沧,2022-10-01,40.0,454.0,39.0,0.0,0.0,0.0,99.0,300.0,0.0,202.0,349.0,381.0,0.0,238.0,255.0,315.0,106.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,383.0,549.0,0.0,424.0,91.0,76.0,341.0,0.0
临沧,2022-11-01,20.0,432.0,30.0,0.0,0.0,0.0,124.0,301.0,0.0,353.0,295.0,259.0,0.0,253.0,312.0,268.0,59.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.0,581.0,0.0,389.0,72.0,110.0,336.0,0.0
临沧,2022-12-01,4.0,504.0,11.0,0.0,0.0,0.0,65.0,241.0,0.0,253.0,286.0,286.0,0.0,232.0,296.0,226.0,46.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.0,531.0,0.0,315.0,42.0,80.0,388.0,0.0
临沧,2023-01-01,2.0,425.0,12.0,0.0,0.0,0.0,71.0,171.0,0.0,259.0,235.0,187.0,0.0,175.0,254.0,195.0,40.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.0,429.0,0.0,279.0,62.0,67.0,273.0,0.0
临沧,2023-02-01,30.0,452.0,31.0,0.0,0.0,0.0,158.0,231.0,0.0,146.0,251.0,505.0,0.0,299.0,302.0,226.0,57.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.0,663.0,0.0,371.0,83.0,85.0,363.0,0.0
临沧,2023-03-01,1.0,452.0,27.0,0.0,0.0,0.0,74.0,273.0,0.0,431.0,297.0,99.0,0.0,163.0,301.0,265.0,71.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341.0,486.0,0.0,349.0,100.0,70.0,308.0,0.0
