city,date,MPV,SUV,medium_car,med_large_car,large_car,small_car,micro_car,compact_car,roadster,EVER,PHEV,FUEL,EV,0-5w,5-10w,10-15w,15-20w,20-25w,25-30w,30-35w,35-40w,40-50w,50-100w,100-150w,150-300w,300-1000w,joint_type,self_owned_type,imported_type,joint_brand,state_owned_brand,international_brand,self_owned_brand,new_force_brand
丽水,2022-06-01,112.0,901.0,163.0,164.0,0.0,114.0,591.0,367.0,0.0,58.0,718.0,860.0,776.0,21.0,761.0,460.0,456.0,170.0,115.0,187.0,147.0,95.0,0.0,0.0,0.0,0.0,815.0,1597.0,0.0,697.0,113.0,470.0,966.0,166.0
丽水,2022-07-01,86.0,607.0,160.0,117.0,0.0,68.0,244.0,331.0,0.0,0.0,488.0,665.0,460.0,14.0,361.0,372.0,291.0,187.0,64.0,110.0,96.0,118.0,0.0,0.0,0.0,0.0,695.0,918.0,0.0,489.0,74.0,388.0,575.0,87.0
丽水,2022-08-01,40.0,795.0,247.0,210.0,0.0,91.0,536.0,308.0,0.0,0.0,383.0,971.0,873.0,11.0,620.0,425.0,390.0,219.0,75.0,119.0,162.0,206.0,0.0,0.0,0.0,0.0,994.0,1233.0,0.0,789.0,56.0,571.0,741.0,70.0
丽水,2022-09-01,128.0,788.0,277.0,210.0,0.0,61.0,404.0,381.0,0.0,26.0,671.0,848.0,704.0,32.0,551.0,507.0,348.0,157.0,103.0,195.0,231.0,125.0,0.0,0.0,0.0,0.0,859.0,1390.0,0.0,597.0,103.0,471.0,951.0,127.0
丽水,2022-10-01,105.0,957.0,245.0,210.0,0.0,131.0,380.0,377.0,0.0,34.0,830.0,918.0,623.0,28.0,512.0,499.0,511.0,256.0,76.0,222.0,122.0,179.0,0.0,0.0,0.0,0.0,994.0,1411.0,0.0,730.0,59.0,477.0,1021.0,118.0
丽水,2022-11-01,105.0,801.0,282.0,199.0,0.0,111.0,425.0,421.0,0.0,0.0,598.0,958.0,788.0,1.0,598.0,509.0,369.0,213.0,104.0,210.0,200.0,140.0,0.0,0.0,0.0,0.0,994.0,1350.0,0.0,642.0,101.0,635.0,885.0,81.0
丽水,2022-12-01,130.0,918.0,184.0,187.0,0.0,130.0,326.0,332.0,0.0,23.0,571.0,919.0,694.0,38.0,493.0,493.0,454.0,155.0,58.0,157.0,133.0,226.0,0.0,0.0,0.0,0.0,911.0,1296.0,0.0,541.0,106.0,540.0,883.0,137.0
丽水,2023-01-01,89.0,952.0,267.0,176.0,0.0,79.0,619.0,459.0,0.0,11.0,1121.0,1045.0,464.0,5.0,816.0,600.0,399.0,249.0,50.0,133.0,185.0,204.0,0.0,0.0,0.0,0.0,1040.0,1601.0,0.0,892.0,86.0,542.0,1033.0,88.0
丽水,2023-02-01,25.0,819.0,175.0,321.0,0.0,137.0,493.0,355.0,0.0,0.0,453.0,875.0,997.0,3.0,582.0,480.0,433.0,244.0,102.0,200.0,103.0,178.0,0.0,0.0,0.0,0.0,863.0,1462.0,0.0,620.0,50.0,533.0,1026.0,96.0
丽水,2023-03-01,65.0,867.0,209.0,121.0,0.0,40.0,385.0,368.0,0.0,51.0,530.0,724.0,750.0,17.0,543.0,527.0,324.0,198.0,44.0,153.0,105.0,144.0,0.0,0.0,0.0,0.0,725.0,1330.0,0.0,503.0,78.0,425.0,897.0,152.0
