city,date,EVER,PHEV,FUEL,EV
bozhou,2022/6/1,116,4019,6984,3535
bozhou,2022/7/1,52,2079,3981,2136
bozhou,2022/8/1,78,3306,5487,3015
bozhou,2022/9/1,45,2686,5901,3338
bozhou,2022/10/1,101,2915,6939,2881
bozhou,2022/11/1,35,2547,5937,2598
bozhou,2022/12/1,151,1924,6420,2990
bozhou,2023/1/1,114,2416,7251,3218
bozhou,2023/2/1,18,2803,6972,3194
bozhou,2023/3/1,46,1929,6429,2463
bozhou,2023/4/1,88,2409,7080,3132
bozhou,2023/5/1,51,3515,6303,2089
bozhou,2023/6/1,56,2897,7650,2971
bozhou,2023/7/1,50,2989,6570,3113
bozhou,2023/8/1,21,3265,6105,2507
bozhou,2023/9/1,21,3070,7485,2993
bozhou,2023/10/1,57,3886,6393,2663
bozhou,2023/11/1,81,3223,5502,3434
bozhou,2023/12/1,40,2458,6267,3758
bozhou,2024/1/1,85,3025,7554,3053
bozhou,2024/2/1,83,3219,6069,2676
bozhou,2024/3/1,93,2741,5802,2824
bozhou,2024/4/1,56,2711,5334,3091
bozhou,2024/5/1,148,3034,6591,3152
bozhou,2024/6/1,102,2402,7032,3175
bozhou,2024/7/1,161,2877,6153,2301
bozhou,2024/8/1,213,2856,6198,2574
bozhou,2024/9/1,276,3337,7311,3476
luan,2022/6/1,0,1505,6423,2842
luan,2022/7/1,0,1789,3525,1247
luan,2022/8/1,0,2209,4575,2531
luan,2022/9/1,0,1876,5424,2405
luan,2022/10/1,14,2210,4923,2113
luan,2022/11/1,42,2440,5214,2279
luan,2022/12/1,11,1934,5973,2392
luan,2023/1/1,11,2675,5061,2473
luan,2023/2/1,0,1938,5076,2937
luan,2023/3/1,0,2167,4902,2147
luan,2023/4/1,0,1602,5382,2652
luan,2023/5/1,0,2330,5286,2119
luan,2023/6/1,11,1569,5700,2292
luan,2023/7/1,14,1899,5640,2253
luan,2023/8/1,20,2158,4515,1685
luan,2023/9/1,11,2597,5064,2131
luan,2023/10/1,30,2250,5835,2202
luan,2023/11/1,83,2576,5901,2092
luan,2023/12/1,79,2079,4818,1980
luan,2024/1/1,94,2026,5061,2096
luan,2024/2/1,63,2355,5520,2292
luan,2024/3/1,32,2445,4587,2580
luan,2024/4/1,66,2475,5172,2391
luan,2024/5/1,59,2158,5082,2861
luan,2024/6/1,110,2283,6039,2469
luan,2024/7/1,95,1845,5289,2712
luan,2024/8/1,91,1942,5313,2888
luan,2024/9/1,137,2541,5256,2025
合肥,2022/6/1,349,19320,40161,24330
合肥,2022/7/1,425,14131,26190,15497
合肥,2022/8/1,560,23050,40380,23705
合肥,2022/9/1,583,22101,35637,26793
合肥,2022/10/1,478,19617,44508,27999
合肥,2022/11/1,767,22036,41046,23840
合肥,2022/12/1,561,19304,43479,24658
合肥,2023/1/1,591,22446,39384,21594
合肥,2023/2/1,454,19186,45441,26969
合肥,2023/3/1,593,22167,41073,24651
合肥,2023/4/1,723,20192,45633,22777
合肥,2023/5/1,924,18793,42738,24692
合肥,2023/6/1,881,16330,40557,23735
合肥,2023/7/1,768,21346,40788,25241
合肥,2023/8/1,1135,20606,41367,24904
合肥,2023/9/1,1068,21587,41706,26674
合肥,2023/10/1,1127,22577,42177,25402
合肥,2023/11/1,1208,18791,43791,21523
合肥,2023/12/1,1278,21017,41556,24919
合肥,2024/1/1,1628,20215,41088,22544
合肥,2024/2/1,902,19705,42465,26060
合肥,2024/3/1,1210,20141,42966,25003
合肥,2024/4/1,1184,23047,37437,22604
合肥,2024/5/1,1768,20676,44412,25524
合肥,2024/6/1,2119,21467,41031,24532
合肥,2024/7/1,2012,18549,43602,24495
合肥,2024/8/1,2054,21851,39207,22882
